State,District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Hazard Score
Andaman And Nicobar Islands,Nicobar ,2010,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2011,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2012,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2013,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2014,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2015,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2016,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2017,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2018,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2019,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2020,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2021,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2022,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2023,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2024,,,,,,,,
Andaman And Nicobar Islands,Nicobar ,2025,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2010,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2011,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2012,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2013,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2014,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2015,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2016,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2017,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2018,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2019,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2020,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2021,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2022,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2023,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2024,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2025,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2010,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2011,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2012,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2013,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2014,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2015,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2016,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2017,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2018,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2019,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2020,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2021,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2022,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2023,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2024,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2025,,,,,,,,
Andhra Pradesh,Anantapur,2010,822.9441999,145.8690395,45,0,75,12,46.0811701,0.45598125
Andhra Pradesh,Anantapur,2011,511.8670659,-165.2080945,24,0,105,10,27.7359537,0.254319951
Andhra Pradesh,Anantapur,2012,537.397124,-139.6780364,22,0,90,7,47.095788,0.220550884
Andhra Pradesh,Anantapur,2013,562.7372038,-114.3379566,27,0,46,13,32.7770629,0.223728146
Andhra Pradesh,Anantapur,2014,482.115662,-194.9594984,25,0,60,12,32.93094135,0.204677923
Andhra Pradesh,Anantapur,2015,777.7471087,100.6719482,52,0,59,12,29.74825377,0.401372839
Andhra Pradesh,Anantapur,2016,437.1146719,-239.9604885,23,0,103,8,34.38258819,0.208464969
Andhra Pradesh,Anantapur,2017,747.8617364,70.78657598,40,0,66,14,43.85233858,0.421184884
Andhra Pradesh,Anantapur,2018,386.5927965,-290.4823639,20,0,38,7,30.83140121,0.021135493
Andhra Pradesh,Anantapur,2019,658.8434254,-18.23173506,33,0,79,15,32.04821753,0.377495066
Andhra Pradesh,Anantapur,2020,950.4296704,273.35451,56,0,66,14,38.04449583,0.536560886
Andhra Pradesh,Anantapur,2021,988.534837,311.4596765,51,1,51,12,87.99739179,0.753600823
Andhra Pradesh,Anantapur,2022,911.1040313,234.0288709,49,0,78,13,38.70272962,0.502965334
Andhra Pradesh,Anantapur,2023,498.3630545,-178.7121059,32,0,75,9,22.52918398,0.195967702
Andhra Pradesh,Anantapur,2024,839.0777231,162.0025627,45,0,119,11,42.54935049,0.525325456
Andhra Pradesh,Anantapur,2025,720.472256,43.39709557,41,0,81,17,35.41666298,0.477619821
Andhra Pradesh,Chittoor,2010,1133.593338,67.32953609,37,0,93,20,47.0881343,0.446146091
Andhra Pradesh,Chittoor,2011,1000.442799,-65.82100287,38,0,50,15,47.5245077,0.288960749
Andhra Pradesh,Chittoor,2012,967.4995175,-98.76428406,31,1,78,13,60.38298125,0.37436387
Andhra Pradesh,Chittoor,2013,838.4756672,-227.7881343,29,0,46,14,41.02671117,0.192543693
Andhra Pradesh,Chittoor,2014,682.2242893,-384.0395122,20,0,60,6,32.25397218,0.066620912
Andhra Pradesh,Chittoor,2015,1488.037791,421.7739893,43,3,59,14,122.9238816,0.712834282
Andhra Pradesh,Chittoor,2016,698.6660265,-367.5977751,23,1,54,6,78.35856277,0.209564807
Andhra Pradesh,Chittoor,2017,1143.535886,77.27208467,44,0,36,24,33.88634471,0.368078231
Andhra Pradesh,Chittoor,2018,620.1834681,-446.0803335,19,0,38,8,41.37310099,0.039554528
Andhra Pradesh,Chittoor,2019,975.5763178,-90.68748377,29,0,69,16,46.79644573,0.295502088
Andhra Pradesh,Chittoor,2020,1374.444854,308.1810529,52,3,59,14,87.56590964,0.664884732
Andhra Pradesh,Chittoor,2021,1545.707711,479.4439094,59,2,49,23,100.7838259,0.75559912
Andhra Pradesh,Chittoor,2022,1168.785847,102.5220459,42,1,62,17,71.17434261,0.479129822
Andhra Pradesh,Chittoor,2023,1036.818555,-29.4452466,26,1,75,18,67.75652832,0.419453248
Andhra Pradesh,Chittoor,2024,1173.855884,107.5920821,44,3,114,17,65.73207662,0.700594572
Andhra Pradesh,Chittoor,2025,1212.372874,146.109072,49,1,50,17,54.5805707,0.460002366
Andhra Pradesh,East Godavari,2010,1874.049614,612.8631905,55,6,57,23,130.8774741,0.74850875
Andhra Pradesh,East Godavari,2011,964.4979586,-296.6884645,34,0,58,15,46.87696606,0.182253209
Andhra Pradesh,East Godavari,2012,1560.497644,299.3112206,41,3,62,40,177.0668007,0.730107445
Andhra Pradesh,East Godavari,2013,1163.195816,-97.99060752,27,5,60,18,79.23103274,0.386789498
Andhra Pradesh,East Godavari,2014,901.2017102,-359.9847129,19,2,64,20,93.4996658,0.26488435
Andhra Pradesh,East Godavari,2015,1231.74885,-29.43757318,33,1,63,21,111.3589487,0.382356037
Andhra Pradesh,East Godavari,2016,1175.474104,-85.71231907,40,2,37,31,71.11929338,0.364850635
Andhra Pradesh,East Godavari,2017,1052.656839,-208.5295837,34,0,68,20,32.15611823,0.247772435
Andhra Pradesh,East Godavari,2018,1121.265086,-139.921337,35,1,75,26,55.96017075,0.38312106
Andhra Pradesh,East Godavari,2019,1187.910808,-73.2756148,31,3,58,21,58.62761211,0.343487182
Andhra Pradesh,East Godavari,2020,1530.207165,269.020742,48,3,33,21,94.73519491,0.437327057
Andhra Pradesh,East Godavari,2021,1312.969812,51.7833891,31,2,61,20,82.37635505,0.367985948
Andhra Pradesh,East Godavari,2022,1329.447466,68.26104291,46,0,55,22,43.50885274,0.332920104
Andhra Pradesh,East Godavari,2023,1181.777674,-79.40874948,31,2,70,19,134.4994522,0.429404443
Andhra Pradesh,East Godavari,2024,1333.639441,72.45301825,43,2,80,36,65.6246833,0.579108443
Andhra Pradesh,East Godavari,2025,1258.442782,-2.743641273,37,1,82,17,52.20786053,0.375375236
Andhra Pradesh,Guntur,2010,1577.16922,576.9366677,54,6,94,16,109.6469035,0.826031074
Andhra Pradesh,Guntur,2011,629.7057514,-370.5268011,25,0,57,17,38.38081185,0.164011026
Andhra Pradesh,Guntur,2012,1143.593192,143.3606398,39,4,61,14,82.39061206,0.487942151
Andhra Pradesh,Guntur,2013,1186.263275,186.0307226,40,3,62,14,93.56859234,0.493461637
Andhra Pradesh,Guntur,2014,684.1066449,-316.1259076,23,2,51,8,79.53578619,0.176561232
Andhra Pradesh,Guntur,2015,807.9870457,-192.2455068,30,1,58,14,53.48033137,0.24365986
Andhra Pradesh,Guntur,2016,947.7360676,-52.49648491,33,1,124,15,52.43118843,0.409521048
Andhra Pradesh,Guntur,2017,848.1064584,-152.1260941,35,0,68,23,31.6999211,0.331004797
Andhra Pradesh,Guntur,2018,707.3599858,-292.8725667,25,1,75,16,59.26582772,0.260782094
Andhra Pradesh,Guntur,2019,941.9975639,-58.23498852,44,0,33,18,37.54280221,0.288703154
Andhra Pradesh,Guntur,2020,1222.985532,222.7529792,46,2,35,15,76.92349366,0.440357046
Andhra Pradesh,Guntur,2021,1068.009218,67.77666517,44,0,52,13,32.34400085,0.279968549
Andhra Pradesh,Guntur,2022,989.5445377,-10.68801472,39,0,107,17,41.64688764,0.395750147
Andhra Pradesh,Guntur,2023,1069.89702,69.66446788,37,2,75,14,84.2150338,0.436277232
Andhra Pradesh,Guntur,2024,1056.309445,56.07689252,32,2,128,17,131.5362289,0.612319107
Andhra Pradesh,Guntur,2025,1122.949882,122.7173295,39,2,93,10,83.22430011,0.441842931
Andhra Pradesh,Krishna,2010,1851.74998,669.1953737,56,9,74,20,77.00495886,0.75956721
Andhra Pradesh,Krishna,2011,882.5952138,-299.9593922,25,1,57,18,59.26145317,0.218226069
Andhra Pradesh,Krishna,2012,1517.295023,334.740417,48,6,62,21,103.4066293,0.66249444
Andhra Pradesh,Krishna,2013,1261.241914,78.68730788,37,3,62,14,68.09553876,0.348239612
Andhra Pradesh,Krishna,2014,781.5187221,-401.0358839,21,2,75,11,76.77083144,0.182503196
Andhra Pradesh,Krishna,2015,1014.619091,-167.9355147,33,0,59,15,48.35332526,0.199791814
Andhra Pradesh,Krishna,2016,1035.665448,-146.8891585,30,2,103,15,53.01430976,0.31479791
Andhra Pradesh,Krishna,2017,908.1970967,-274.3575093,31,0,69,22,48.55850261,0.281805357
Andhra Pradesh,Krishna,2018,994.7793114,-187.7752946,26,2,75,15,77.09817455,0.291516779
Andhra Pradesh,Krishna,2019,1049.450913,-133.1036932,41,0,44,24,42.80318642,0.319758762
Andhra Pradesh,Krishna,2020,1497.266431,314.711825,47,2,35,24,104.2260835,0.572393806
Andhra Pradesh,Krishna,2021,1253.301152,70.74654554,47,3,50,15,62.95930697,0.374780708
Andhra Pradesh,Krishna,2022,1160.436304,-22.11830244,39,0,56,19,45.684242,0.291179452
Andhra Pradesh,Krishna,2023,1196.702997,14.14839075,29,3,75,18,119.5333796,0.486402112
Andhra Pradesh,Krishna,2024,1290.753508,108.198902,35,2,128,17,118.9094382,0.591907763
Andhra Pradesh,Krishna,2025,1225.300593,42.74598692,40,1,93,18,59.40910364,0.407860849
Andhra Pradesh,Kurnool,2010,851.3737463,142.9302512,44,1,38,12,57.43374464,0.630193502
Andhra Pradesh,Kurnool,2011,526.6840535,-181.7594417,26,0,53,12,28.30551648,0.197407815
Andhra Pradesh,Kurnool,2012,637.5576571,-70.88583801,32,0,78,9,37.13077069,0.302280915
Andhra Pradesh,Kurnool,2013,732.0661219,23.62262679,39,0,46,11,29.47131844,0.286838059
Andhra Pradesh,Kurnool,2014,586.6793393,-121.7641558,30,0,60,11,46.19832751,0.311425691
Andhra Pradesh,Kurnool,2015,690.8045269,-17.63896823,32,0,57,10,30.08508675,0.251962175
Andhra Pradesh,Kurnool,2016,566.5372104,-141.9062847,34,0,101,10,31.27657217,0.3395964
Andhra Pradesh,Kurnool,2017,752.4968507,44.05335557,42,0,66,16,36.28120818,0.467155953
Andhra Pradesh,Kurnool,2018,388.3392548,-320.1042403,18,0,38,9,19.78422787,0
Andhra Pradesh,Kurnool,2019,677.2527661,-31.19072899,37,0,79,15,30.85868487,0.412426013
Andhra Pradesh,Kurnool,2020,1080.819428,372.375933,50,0,66,14,48.8516628,0.610157037
Andhra Pradesh,Kurnool,2021,810.2115772,101.7680821,47,0,51,12,34.84527126,0.399342959
Andhra Pradesh,Kurnool,2022,774.2281668,65.78467172,42,0,91,15,41.25712052,0.535617308
Andhra Pradesh,Kurnool,2023,534.9975634,-173.4459317,25,0,75,10,33.58025202,0.235143145
Andhra Pradesh,Kurnool,2024,803.3063868,94.86289165,42,0,110,14,40.03199068,0.564507293
Andhra Pradesh,Kurnool,2025,921.7412725,213.2977774,45,1,81,19,53.1749549,0.849688863
Andhra Pradesh,Nellore,2010,1472.732566,373.2247723,51,4,81,16,73.39898804,0.629230853
Andhra Pradesh,Nellore,2011,1132.049265,32.54147134,38,2,56,15,86.30549199,0.411106812
Andhra Pradesh,Nellore,2012,916.6539087,-182.8538848,32,3,104,9,84.70230116,0.435237477
Andhra Pradesh,Nellore,2013,909.2370037,-190.2707898,33,1,47,9,56.00613448,0.200253816
Andhra Pradesh,Nellore,2014,734.6728915,-364.834902,24,1,50,14,74.43969945,0.208866985
Andhra Pradesh,Nellore,2015,1608.048026,508.5402323,40,6,63,10,142.4004075,0.678735156
Andhra Pradesh,Nellore,2016,629.1180001,-470.3897934,18,2,103,10,87.42437254,0.303906273
Andhra Pradesh,Nellore,2017,1011.904284,-87.60350958,46,0,55,11,45.48896469,0.269839771
Andhra Pradesh,Nellore,2018,556.9574121,-542.5503814,20,1,75,6,72.21392918,0.149270543
Andhra Pradesh,Nellore,2019,1007.918043,-91.5897505,35,1,51,12,60.8825982,0.268481274
Andhra Pradesh,Nellore,2020,1475.405231,375.8974373,52,4,49,11,128.4314206,0.612416419
Andhra Pradesh,Nellore,2021,1483.263295,383.755502,43,5,52,26,97.47670242,0.676129418
Andhra Pradesh,Nellore,2022,1243.295315,143.7875217,44,3,52,8,112.3435443,0.462992935
Andhra Pradesh,Nellore,2023,968.7384302,-130.7693633,26,2,75,9,142.3418256,0.417359107
Andhra Pradesh,Nellore,2024,1146.378866,46.87107277,38,3,118,11,87.10247523,0.554733981
Andhra Pradesh,Nellore,2025,1295.752159,196.2443652,45,4,61,17,85.0230031,0.553131871
Andhra Pradesh,Prakasam,2010,1393.79383,524.9650722,48,4,42,9,102.4544932,0.625466886
Andhra Pradesh,Prakasam,2011,648.1102783,-220.7184794,33,0,54,15,28.7107509,0.266033477
Andhra Pradesh,Prakasam,2012,918.7511627,49.92240497,38,1,78,10,85.54763021,0.416911093
Andhra Pradesh,Prakasam,2013,1010.415139,141.5863812,42,1,46,15,95.04376128,0.504826119
Andhra Pradesh,Prakasam,2014,574.1158657,-294.712892,23,1,99,11,68.3010099,0.305991956
Andhra Pradesh,Prakasam,2015,775.6168833,-93.2118744,35,1,61,14,68.99105825,0.394665782
Andhra Pradesh,Prakasam,2016,630.9773196,-237.8514381,25,1,73,12,52.58093736,0.276762211
Andhra Pradesh,Prakasam,2017,733.8439364,-134.9848213,39,0,67,18,32.13244888,0.395946649
Andhra Pradesh,Prakasam,2018,513.9305055,-354.8982522,15,0,75,12,31.66901817,0.135323538
Andhra Pradesh,Prakasam,2019,810.2742509,-58.55450682,36,0,79,12,30.4948627,0.302817755
Andhra Pradesh,Prakasam,2020,1120.159844,251.3310861,48,2,32,14,105.640713,0.570012609
Andhra Pradesh,Prakasam,2021,968.7364708,99.90771311,44,0,51,18,33.19419393,0.439176982
Andhra Pradesh,Prakasam,2022,955.0460463,86.21728857,40,2,63,10,57.42179162,0.408076273
Andhra Pradesh,Prakasam,2023,799.8311853,-68.99757236,32,1,75,10,85.4090719,0.358615904
Andhra Pradesh,Prakasam,2024,978.6310284,109.8022707,42,2,127,17,66.51718239,0.677866149
Andhra Pradesh,Prakasam,2025,1069.026377,200.1976197,45,1,93,18,142.5939891,0.73868082
Andhra Pradesh,Srikakulam,2010,1616.754414,381.5504233,55,6,39,11,94.95550948,0.630039402
Andhra Pradesh,Srikakulam,2011,880.7134185,-354.4905723,22,0,63,11,44.67342164,0.11116801
Andhra Pradesh,Srikakulam,2012,1246.729807,11.52581625,42,2,68,9,69.81646611,0.397678799
Andhra Pradesh,Srikakulam,2013,1466.868414,231.6644236,32,6,57,13,131.00306,0.614040112
Andhra Pradesh,Srikakulam,2014,1297.87363,62.66963922,34,4,61,16,113.9649686,0.532235279
Andhra Pradesh,Srikakulam,2015,946.4594125,-288.7445783,29,1,39,14,78.49861761,0.198911902
Andhra Pradesh,Srikakulam,2016,1140.129933,-95.07405781,37,1,56,33,81.69773058,0.472457455
Andhra Pradesh,Srikakulam,2017,1213.199115,-22.0048759,43,2,65,13,60.90317924,0.397586298
Andhra Pradesh,Srikakulam,2018,1278.700107,43.49611614,34,5,89,10,104.9916386,0.58250661
Andhra Pradesh,Srikakulam,2019,1352.11814,116.9141488,39,4,59,14,128.0911472,0.575554854
Andhra Pradesh,Srikakulam,2020,1118.377886,-116.8261052,37,1,34,22,87.28935476,0.334662676
Andhra Pradesh,Srikakulam,2021,1393.250023,158.0460319,41,4,63,12,92.70641004,0.528741729
Andhra Pradesh,Srikakulam,2022,1268.498419,33.29442832,39,2,38,17,50.82419858,0.317504827
Andhra Pradesh,Srikakulam,2023,1058.80018,-176.4038109,35,0,75,14,39.51321147,0.264946584
Andhra Pradesh,Srikakulam,2024,1164.390684,-70.8133064,27,2,43,15,54.4931265,0.241271255
Andhra Pradesh,Srikakulam,2025,1320.40027,85.19627938,39,3,81,16,79.48345742,0.532602123
Andhra Pradesh,Visakhapatnam,2010,1740.918778,487.964228,53,5,39,39,97.01616376,0.741045901
Andhra Pradesh,Visakhapatnam,2011,967.4623422,-285.4922077,31,0,56,17,48.70529062,0.124919834
Andhra Pradesh,Visakhapatnam,2012,1390.887233,137.9326836,36,3,43,38,137.3091621,0.532379788
Andhra Pradesh,Visakhapatnam,2013,1166.56407,-86.3904794,34,4,60,22,75.41001776,0.390184667
Andhra Pradesh,Visakhapatnam,2014,1224.162467,-28.79208296,29,1,50,19,215.4334628,0.351175946
Andhra Pradesh,Visakhapatnam,2015,1215.19664,-37.75791019,32,2,63,14,64.29573475,0.266307146
Andhra Pradesh,Visakhapatnam,2016,1153.694471,-99.26007863,39,1,59,25,53.7533153,0.316452339
Andhra Pradesh,Visakhapatnam,2017,1068.127826,-184.8267235,35,0,65,21,35.73771245,0.213207664
Andhra Pradesh,Visakhapatnam,2018,1088.813634,-164.1409157,27,1,90,28,75.80568491,0.356645256
Andhra Pradesh,Visakhapatnam,2019,1232.780799,-20.17375089,36,1,59,16,87.55856405,0.285617478
Andhra Pradesh,Visakhapatnam,2020,1322.100019,69.14546929,43,1,33,26,77.56792453,0.331113061
Andhra Pradesh,Visakhapatnam,2021,1291.781458,38.82690861,33,1,86,14,126.0872645,0.380449504
Andhra Pradesh,Visakhapatnam,2022,1292.059582,39.10503195,42,0,37,25,45.37960689,0.260071049
Andhra Pradesh,Visakhapatnam,2023,1189.772204,-63.18234586,34,1,75,22,111.3774959,0.37240488
Andhra Pradesh,Visakhapatnam,2024,1271.379429,18.42487903,40,2,79,24,71.71854918,0.450030535
Andhra Pradesh,Visakhapatnam,2025,1431.571844,178.6172943,41,3,82,14,77.2001665,0.471482286
Andhra Pradesh,Vizianagaram,2010,1617.02899,381.6362663,50,4,35,18,83.17609711,0.622728084
Andhra Pradesh,Vizianagaram,2011,976.0616194,-259.3311047,30,0,66,14,34.54996767,0.128911565
Andhra Pradesh,Vizianagaram,2012,1268.148389,32.75566478,35,2,62,19,92.59663181,0.4366196
Andhra Pradesh,Vizianagaram,2013,1229.173276,-6.219448485,30,4,60,18,78.73770819,0.434226387
Andhra Pradesh,Vizianagaram,2014,1355.229968,119.8372439,36,4,45,15,157.4822437,0.547742393
Andhra Pradesh,Vizianagaram,2015,1066.643693,-168.7490314,34,1,64,17,54.65946655,0.272925978
Andhra Pradesh,Vizianagaram,2016,1166.75255,-68.64017429,37,0,59,32,43.7493557,0.375491686
Andhra Pradesh,Vizianagaram,2017,1083.555616,-151.837108,40,0,65,22,43.87073793,0.316097912
Andhra Pradesh,Vizianagaram,2018,1181.757438,-53.63528581,37,2,75,12,78.04905777,0.396983912
Andhra Pradesh,Vizianagaram,2019,1253.97242,18.57969603,38,1,59,29,109.284206,0.512020445
Andhra Pradesh,Vizianagaram,2020,1227.683042,-7.709681908,40,1,33,14,74.04684563,0.260642473
Andhra Pradesh,Vizianagaram,2021,1311.712334,76.31961035,36,2,56,21,125.6479755,0.497348784
Andhra Pradesh,Vizianagaram,2022,1364.997391,129.6046667,38,0,37,19,48.82383755,0.259089878
Andhra Pradesh,Vizianagaram,2023,1151.953217,-83.43950677,36,1,75,17,56.5144668,0.351705039
Andhra Pradesh,Vizianagaram,2024,1196.097443,-39.29528138,31,2,68,24,53.4455966,0.393546739
Andhra Pradesh,Vizianagaram,2025,1315.516199,80.12347459,37,2,82,20,58.70641251,0.496016557
Andhra Pradesh,West Godavari,2010,1921.561943,677.6728306,55,8,74,25,82.2139172,0.752473344
Andhra Pradesh,West Godavari,2011,929.210758,-314.6783541,27,0,64,22,49.50523148,0.226466397
Andhra Pradesh,West Godavari,2012,1547.084114,303.1950023,44,5,64,33,132.9450085,0.682063703
Andhra Pradesh,West Godavari,2013,1080.684366,-163.2047456,31,3,62,18,59.48989911,0.304180468
Andhra Pradesh,West Godavari,2014,795.3005482,-448.5885639,18,2,100,12,86.99892553,0.2611541
Andhra Pradesh,West Godavari,2015,1069.461963,-174.4271495,32,1,59,17,96.07849015,0.292106513
Andhra Pradesh,West Godavari,2016,1168.048819,-75.8402926,34,1,63,18,62.19490925,0.294559292
Andhra Pradesh,West Godavari,2017,964.1869758,-279.7021363,31,0,69,23,41.14545578,0.260404574
Andhra Pradesh,West Godavari,2018,1112.746077,-131.1430351,33,3,75,26,77.91130818,0.4349849
Andhra Pradesh,West Godavari,2019,1067.955078,-175.9340339,29,1,61,17,50.94550133,0.231354321
Andhra Pradesh,West Godavari,2020,1645.214161,401.3250489,47,3,33,24,123.6526099,0.509184702
Andhra Pradesh,West Godavari,2021,1343.204003,99.31489059,41,3,93,17,87.05522961,0.489005473
Andhra Pradesh,West Godavari,2022,1369.719264,125.8301518,44,0,38,26,44.17818711,0.329163344
Andhra Pradesh,West Godavari,2023,1205.90341,-37.98570255,31,2,75,20,185.8280377,0.495623492
Andhra Pradesh,West Godavari,2024,1402.092123,158.2030105,41,2,80,17,112.4009156,0.473745113
Andhra Pradesh,West Godavari,2025,1279.852191,35.96307897,47,2,95,14,75.10177273,0.453220077
Andhra Pradesh,Y. S. R.,2010,1060.425461,204.7745363,45,1,56,11,58.35410468,0.426088934
Andhra Pradesh,Y. S. R.,2011,773.6915262,-81.95939893,36,0,52,13,41.80863625,0.289814759
Andhra Pradesh,Y. S. R.,2012,677.6259267,-178.0249984,30,1,78,7,53.26351261,0.277503293
Andhra Pradesh,Y. S. R.,2013,676.0823141,-179.568611,30,0,47,11,42.24072005,0.211619465
Andhra Pradesh,Y. S. R.,2014,494.4899196,-361.1610056,19,0,61,7,36.03493838,0.096652378
Andhra Pradesh,Y. S. R.,2015,1161.90749,306.2565645,41,5,56,9,115.101888,0.655018534
Andhra Pradesh,Y. S. R.,2016,545.6534409,-309.9974843,25,0,105,8,49.96904284,0.263838807
Andhra Pradesh,Y. S. R.,2017,848.7304405,-6.920484663,36,0,48,11,46.16072061,0.276857066
Andhra Pradesh,Y. S. R.,2018,442.9901134,-412.6608117,16,0,38,5,37.20152022,0.002459059
Andhra Pradesh,Y. S. R.,2019,775.5183501,-80.13257508,34,0,49,12,42.82257516,0.264577746
Andhra Pradesh,Y. S. R.,2020,1337.615433,481.9645075,60,4,59,14,104.3249654,0.779366461
Andhra Pradesh,Y. S. R.,2021,1285.184647,429.5337223,56,2,51,15,101.1643914,0.678340534
Andhra Pradesh,Y. S. R.,2022,948.1990423,92.54811714,48,1,91,9,53.78732073,0.452057525
Andhra Pradesh,Y. S. R.,2023,701.1104908,-154.5404343,25,2,75,11,87.54955949,0.417850093
Andhra Pradesh,Y. S. R.,2024,925.1972239,69.5462988,42,1,118,11,52.84798808,0.507092807
Andhra Pradesh,Y. S. R.,2025,1035.992983,180.3420575,42,1,74,17,50.63377059,0.514733082
Arunachal Pradesh,Anjaw,2010,3248.764115,1383.600888,64,9,48,34,98.36297692,0.692026206
Arunachal Pradesh,Anjaw,2011,0,-1865.163226,0,0,365,0,0,0.166175025
Arunachal Pradesh,Anjaw,2012,0,-1865.163226,0,0,366,0,0,0.166666667
Arunachal Pradesh,Anjaw,2013,2338.738569,473.5753426,49,10,44,20,100.8972371,0.546184484
Arunachal Pradesh,Anjaw,2014,1870.438607,5.27538034,36,7,73,12,111.4749281,0.452828086
Arunachal Pradesh,Anjaw,2015,2117.362342,252.1991154,49,6,27,14,107.6387973,0.474535207
Arunachal Pradesh,Anjaw,2016,3229.058656,1363.895429,63,22,48,28,125.0608029,0.788295945
Arunachal Pradesh,Anjaw,2017,2820.563414,955.4001873,54,12,33,25,110.5102793,0.629271272
Arunachal Pradesh,Anjaw,2018,1769.128603,-96.03462398,38,2,35,31,84.71775097,0.458534888
Arunachal Pradesh,Anjaw,2019,2471.003568,605.840342,45,9,43,17,144.4137005,0.570001929
Arunachal Pradesh,Anjaw,2020,1974.131603,108.9683768,37,4,43,15,80.40892198,0.40212819
Arunachal Pradesh,Anjaw,2021,1319.151623,-546.0116034,22,2,28,11,82.24521128,0.289449452
Arunachal Pradesh,Anjaw,2022,2561.376259,696.2130324,54,7,60,13,79.71253967,0.497003167
Arunachal Pradesh,Anjaw,2023,1222.804279,-642.3589477,22,2,37,14,56.68538454,0.274138958
Arunachal Pradesh,Anjaw,2024,1738.389058,-126.7741687,33,6,36,12,101.6272244,0.40110957
Arunachal Pradesh,Anjaw,2025,1161.700929,-703.4622975,19,3,57,8,105.5967144,0.30763676
Arunachal Pradesh,Changlang,2010,3086.919183,1104.176497,58,9,48,34,96.22267369,0.688128921
Arunachal Pradesh,Changlang,2011,756.3367276,-1226.405958,11,0,91,10,36.23235594,0.120682068
Arunachal Pradesh,Changlang,2012,724.7518056,-1257.99088,9,0,122,12,38.63921247,0.184077016
Arunachal Pradesh,Changlang,2013,2335.769651,353.0269648,47,12,45,20,100.7278677,0.53160163
Arunachal Pradesh,Changlang,2014,1812.257369,-170.4853173,32,7,73,18,107.3477282,0.449427805
Arunachal Pradesh,Changlang,2015,2088.850247,106.1075614,44,6,27,18,103.042705,0.410207972
Arunachal Pradesh,Changlang,2016,2902.144761,919.4020755,55,19,48,28,121.0563098,0.748219199
Arunachal Pradesh,Changlang,2017,2461.003177,478.2604908,44,10,33,15,115.7343134,0.479815577
Arunachal Pradesh,Changlang,2018,1599.311083,-383.4316028,31,3,29,15,92.35503387,0.27626683
Arunachal Pradesh,Changlang,2019,2432.471616,449.7289302,43,8,43,19,150.14611,0.552841577
Arunachal Pradesh,Changlang,2020,2132.959751,150.2170651,39,2,38,15,75.74150957,0.321321038
Arunachal Pradesh,Changlang,2021,1311.350416,-671.3922702,18,2,30,13,67.94489997,0.159205045
Arunachal Pradesh,Changlang,2022,2646.539563,663.7968768,63,5,59,13,62.56933321,0.461628452
