State,District,Year,Crimes Against Children (Cases),Crimes Against Women (Cases),Crimes Against SC Communities (Cases),Crimes Against ST Communities (Cases),Cybercrime Cases,Vulnerability Score
Andaman And Nicobar Islands,Nicobar,2020,27,28,0,0,0,0.15979623
Andaman And Nicobar Islands,Nicobar,2021,22,25,0,0,0,0.15241559
Andaman And Nicobar Islands,Nicobar,2022,27,32,0,0,1,0.176935341
Andaman And Nicobar Islands,Nicobar,2023,29,31,0,0,5,0.200413649
Andaman And Nicobar Islands,North And Middle Andaman,2020,52,53,0,0,2,0.212338374
Andaman And Nicobar Islands,North And Middle Andaman,2021,31,46,0,0,3,0.202528485
Andaman And Nicobar Islands,North And Middle Andaman,2022,22,28,0,0,2,0.177390018
Andaman And Nicobar Islands,North And Middle Andaman,2023,41,49,0,0,11,0.233162689
Andaman And Nicobar Islands,South Andaman,2020,62,62,0,2,3,0.257872839
Andaman And Nicobar Islands,South Andaman,2021,71,98,0,3,5,0.288170091
Andaman And Nicobar Islands,South Andaman,2022,97,118,0,3,25,0.330026464
Andaman And Nicobar Islands,South Andaman,2023,91,125,0,2,31,0.325681277
Andhra Pradesh,Alluri Sitharama Raju,2020,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,2021,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,2022,17,138,1,25,1,0.314644568
Andhra Pradesh,Alluri Sitharama Raju,2023,15,106,4,16,13,0.361403209
Andhra Pradesh,Anakapalli,2020,,,,,,
Andhra Pradesh,Anakapalli,2021,,,,,,
Andhra Pradesh,Anakapalli,2022,65,709,75,16,55,0.551962238
Andhra Pradesh,Anakapalli,2023,50,548,70,15,55,0.535825819
Andhra Pradesh,Anantapur,2020,285,1129,172,29,41,0.634847024
Andhra Pradesh,Anantapur,2021,301,1102,131,31,55,0.63507826
Andhra Pradesh,Anantapur,2022,,,,,,
Andhra Pradesh,Anantapur,2023,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Andhra Pradesh,Annamayya,2020,,,,,,
Andhra Pradesh,Annamayya,2021,,,,,,
Andhra Pradesh,Annamayya,2022,49,611,27,6,5,0.4395654
Andhra Pradesh,Annamayya,2023,42,399,24,2,53,0.442990153
Andhra Pradesh,Bapatla,2020,,,,,,
Andhra Pradesh,Bapatla,2021,,,,,,
Andhra Pradesh,Bapatla,2022,68,864,43,12,17,0.509790796
Andhra Pradesh,Bapatla,2023,185,999,154,41,93,0.64422539
Andhra Pradesh,Chittoor,2020,118,647,98,28,87,0.597339157
Andhra Pradesh,Chittoor,2021,107,646,98,26,51,0.58206652
Andhra Pradesh,Chittoor,2022,85,723,115,8,57,0.55427025
Andhra Pradesh,Chittoor,2023,51,649,87,4,56,0.513439767
Andhra Pradesh,Cuddapah,2020,71,650,52,5,4,0.461453538
Andhra Pradesh,Cuddapah,2021,90,708,111,3,20,0.509836078
Andhra Pradesh,Cuddapah,2022,,,,,,
Andhra Pradesh,Cuddapah,2023,,,,,,
Andhra Pradesh,Dr B R Ambedkar Konaseema,2020,,,,,,
Andhra Pradesh,Dr B R Ambedkar Konaseema,2021,,,,,,
Andhra Pradesh,Dr B R Ambedkar Konaseema,2022,117,909,83,0,29,0.4802802
Andhra Pradesh,Dr B R Ambedkar Konaseema,2023,140,864,48,0,102,0.492189256
Andhra Pradesh,East Godavari,2020,202,1199,161,29,68,0.635857089
Andhra Pradesh,East Godavari,2021,206,1221,136,36,107,0.646842976
Andhra Pradesh,East Godavari,2022,194,1229,110,4,78,0.574651932
Andhra Pradesh,East Godavari,2023,102,960,64,2,126,0.531618925
Andhra Pradesh,Eluru,2020,,,,,,
Andhra Pradesh,Eluru,2021,,,,,,
Andhra Pradesh,Eluru,2022,192,1501,142,28,73,0.63635962
Andhra Pradesh,Eluru,2023,188,1352,117,11,71,0.601409534
Andhra Pradesh,Guntakal Railway,2020,3,9,0,0,0,0.087140552
Andhra Pradesh,Guntakal Railway,2021,2,9,0,0,0,0.080005865
Andhra Pradesh,Guntakal Railway,2022,2,6,2,0,0,0.105622247
Andhra Pradesh,Guntakal Railway,2023,2,6,0,0,0,0.071833295
Andhra Pradesh,Guntur,2020,198,1415,133,42,79,0.646776289
Andhra Pradesh,Guntur,2021,217,1457,87,28,101,0.630331135
Andhra Pradesh,Guntur,2022,192,2261,136,33,348,0.680758034
Andhra Pradesh,Guntur,2023,260,2068,100,22,287,0.661569185
Andhra Pradesh,Guntur Urban,2020,127,769,40,13,157,0.566858496
Andhra Pradesh,Guntur Urban,2021,149,1003,74,17,211,0.60874146
Andhra Pradesh,Guntur Urban,2022,,,,,,
Andhra Pradesh,Guntur Urban,2023,,,,,,
Andhra Pradesh,Kakinada,2020,,,,,,
Andhra Pradesh,Kakinada,2021,,,,,,
Andhra Pradesh,Kakinada,2022,120,848,75,6,53,0.544638897
Andhra Pradesh,Kakinada,2023,178,581,46,6,39,0.524779317
Andhra Pradesh,Krishna,2020,205,1436,91,10,74,0.595584627
Andhra Pradesh,Krishna,2021,166,1137,70,11,47,0.57045713
Andhra Pradesh,Krishna,2022,239,1622,81,8,77,0.593611161
Andhra Pradesh,Krishna,2023,216,1312,64,6,73,0.570751958
Andhra Pradesh,Kurnool,2020,101,1690,335,30,165,0.667991952
Andhra Pradesh,Kurnool,2021,114,1393,233,26,84,0.637720097
Andhra Pradesh,Kurnool,2022,51,814,141,10,18,0.533711991
Andhra Pradesh,Kurnool,2023,63,826,141,13,41,0.562409593
Andhra Pradesh,N T R,2020,,,,,,
Andhra Pradesh,N T R,2021,,,,,,
Andhra Pradesh,N T R,2022,554,2366,83,16,156,0.656525897
Andhra Pradesh,N T R,2023,312,2221,62,30,163,0.650323637
Andhra Pradesh,Nandyal,2020,,,,,,
Andhra Pradesh,Nandyal,2021,,,,,,
Andhra Pradesh,Nandyal,2022,78,927,136,19,43,0.580455334
Andhra Pradesh,Nandyal,2023,70,1092,108,18,27,0.56379371
Andhra Pradesh,Nellore,2020,240,949,117,27,69,0.62330816
Andhra Pradesh,Nellore,2021,113,875,98,28,65,0.59729777
Andhra Pradesh,Nellore,2022,,,,,,
Andhra Pradesh,Nellore,2023,,,,,,
Andhra Pradesh,Palnadu,2020,,,,,,
Andhra Pradesh,Palnadu,2021,,,,,,
Andhra Pradesh,Palnadu,2022,108,868,70,15,30,0.553088724
Andhra Pradesh,Palnadu,2023,39,331,39,14,23,0.481426702
Andhra Pradesh,Parvathipuram Manyam,2020,,,,,,
Andhra Pradesh,Parvathipuram Manyam,2021,,,,,,
Andhra Pradesh,Parvathipuram Manyam,2022,46,277,30,11,16,0.460000226
Andhra Pradesh,Parvathipuram Manyam,2023,27,230,20,16,32,0.454592576
Andhra Pradesh,Prakasam,2020,148,1390,171,21,62,0.622566536
Andhra Pradesh,Prakasam,2021,91,1185,184,26,69,0.617285337
Andhra Pradesh,Prakasam,2022,83,1145,176,35,90,0.626585465
Andhra Pradesh,Prakasam,2023,130,1211,185,35,95,0.641508902
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Andhra Pradesh,Rajahmundry,2020,121,593,81,8,120,0.562780865
Andhra Pradesh,Rajahmundry,2021,127,592,86,5,88,0.547722491
Andhra Pradesh,Rajahmundry,2022,,,,,,
Andhra Pradesh,Rajahmundry,2023,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2020,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2021,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,2022,111,1186,96,38,10,0.575125794
Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,121,1011,94,30,66,0.603258043
Andhra Pradesh,Sri Sathya Sai,2020,,,,,,
Andhra Pradesh,Sri Sathya Sai,2021,,,,,,
Andhra Pradesh,Sri Sathya Sai,2022,76,618,59,19,67,0.554052437
Andhra Pradesh,Sri Sathya Sai,2023,52,554,80,26,23,0.538910515
Andhra Pradesh,Srikakulam,2020,83,457,74,9,64,0.535164907
Andhra Pradesh,Srikakulam,2021,74,489,76,14,64,0.546459118
Andhra Pradesh,Srikakulam,2022,76,647,57,7,99,0.535399051
Andhra Pradesh,Srikakulam,2023,47,584,64,6,40,0.502732371
Andhra Pradesh,Tirupathi Urban,2020,47,241,38,11,102,0.50125582
Andhra Pradesh,Tirupathi Urban,2021,65,363,81,18,211,0.569443995
Andhra Pradesh,Tirupathi Urban,2022,,,,,,
Andhra Pradesh,Tirupathi Urban,2023,,,,,,
Andhra Pradesh,Tirupati,2020,,,,,,
Andhra Pradesh,Tirupati,2021,,,,,,
Andhra Pradesh,Tirupati,2022,88,738,84,20,179,0.593742646
Andhra Pradesh,Tirupati,2023,69,685,88,9,172,0.565187868
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Andhra Pradesh,Vijayawada City,2020,165,971,44,2,176,0.539196617
Andhra Pradesh,Vijayawada City,2021,260,1466,61,7,133,0.592433307
Andhra Pradesh,Vijayawada City,2022,,,,,,
Andhra Pradesh,Vijayawada City,2023,,,,,,
Andhra Pradesh,Vijayawada Railway,2020,3,6,0,0,0,0.078967983
Andhra Pradesh,Vijayawada Railway,2021,2,5,0,0,1,0.082479664
Andhra Pradesh,Vijayawada Railway,2022,,,,,,
Andhra Pradesh,Vijayawada Railway,2023,,,,,,
Andhra Pradesh,Visakha Rural,2020,77,464,57,17,5,0.494062277
Andhra Pradesh,Visakha Rural,2021,81,477,64,20,35,0.540555969
Andhra Pradesh,Visakha Rural,2022,,,,,,
Andhra Pradesh,Visakha Rural,2023,,,,,,
Andhra Pradesh,Visakhapatnam,2020,160,1035,84,3,361,0.582430588
Andhra Pradesh,Visakhapatnam,2021,185,1890,135,9,323,0.638533679
Andhra Pradesh,Visakhapatnam,2022,178,1329,105,9,621,0.635194447
Andhra Pradesh,Visakhapatnam,2023,117,997,65,3,419,0.569126993
Andhra Pradesh,Vizianagaram,2020,91,635,81,16,81,0.56781535
Andhra Pradesh,Vizianagaram,2021,169,752,133,33,119,0.62988937
Andhra Pradesh,Vizianagaram,2022,126,690,94,16,122,0.590531326
Andhra Pradesh,Vizianagaram,2023,63,590,25,3,101,0.484347975
Andhra Pradesh,West Godavari,2020,203,1404,121,20,184,0.640710703
Andhra Pradesh,West Godavari,2021,150,982,156,23,91,0.622402512
Andhra Pradesh,West Godavari,2022,115,967,67,2,26,0.504448981
Andhra Pradesh,West Godavari,2023,66,800,90,1,59,0.5000434
Andhra Pradesh,Y. S. R.,2020,,,,,,
Andhra Pradesh,Y. S. R.,2021,,,,,,
Andhra Pradesh,Y. S. R.,2022,103,794,129,14,32,0.567896716
Andhra Pradesh,Y. S. R.,2023,93,725,80,9,71,0.552969256
Arunachal Pradesh,Anjaw,2020,0,0,0,0,0,0
Arunachal Pradesh,Anjaw,2021,3,4,0,0,0,0.071258322
Arunachal Pradesh,Anjaw,2022,2,4,0,0,0,0.064123635
Arunachal Pradesh,Anjaw,2023,3,4,0,0,0,0.071258322
Arunachal Pradesh,Changlang,2020,7,15,0,0,0,0.115100309
Arunachal Pradesh,Changlang,2021,7,11,0,0,0,0.108508588
Arunachal Pradesh,Changlang,2022,16,16,0,0,2,0.157655726
Arunachal Pradesh,Changlang,2023,2,9,0,0,0,0.080005865
Arunachal Pradesh,Crime Branch,2020,0,1,0,0,5,0.052533006
Arunachal Pradesh,Crime Branch,2021,0,2,0,0,2,0.047645059
Arunachal Pradesh,Crime Branch,2022,0,0,0,0,0,0
Arunachal Pradesh,Crime Branch,2023,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2020,0,3,0,0,0,0.031764459
Arunachal Pradesh,Dibang Valley,2021,0,1,0,0,0,0.015882229
Arunachal Pradesh,Dibang Valley,2022,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,2023,1,2,0,0,0,0.042363202
Arunachal Pradesh,Kameng East,2020,4,6,0,0,0,0.084502076
Arunachal Pradesh,Kameng East,2021,3,10,0,0,1,0.10350287
Arunachal Pradesh,Kameng East,2022,5,14,0,0,1,0.120665293
Arunachal Pradesh,Kameng East,2023,3,10,0,0,0,0.089324414
Arunachal Pradesh,Kameng West,2020,4,9,0,0,0,0.092674645
Arunachal Pradesh,Kameng West,2021,5,10,0,0,0,0.099380191
Arunachal Pradesh,Kameng West,2022,5,8,0,0,0,0.094782181
Arunachal Pradesh,Kameng West,2023,7,12,0,0,9,0.157442435
Arunachal Pradesh,Kamle,2020,1,1,0,0,0,0.033072693
Arunachal Pradesh,Kamle,2021,2,4,0,0,1,0.078302091
Arunachal Pradesh,Kamle,2022,1,1,0,0,0,0.033072693
Arunachal Pradesh,Kamle,2023,1,2,0,0,0,0.042363202
Arunachal Pradesh,Kra Dadi,2020,0,0,0,0,0,0
Arunachal Pradesh,Kra Dadi,2021,0,2,0,0,0,0.025172738
Arunachal Pradesh,Kra Dadi,2022,2,1,0,0,0,0.04312847
Arunachal Pradesh,Kra Dadi,2023,2,3,0,0,0,0.059010699
Arunachal Pradesh,Kurung Kumey,2020,4,6,0,0,1,0.098680532
Arunachal Pradesh,Kurung Kumey,2021,4,10,0,0,0,0.094858508
Arunachal Pradesh,Kurung Kumey,2022,1,0,0,0,0,0.017190464
Arunachal Pradesh,Kurung Kumey,2023,1,3,0,0,0,0.048954923
Arunachal Pradesh,Leparada,2020,2,5,0,0,0,0.068301208
Arunachal Pradesh,Leparada,2021,2,3,0,0,1,0.073189155
Arunachal Pradesh,Leparada,2022,3,8,0,0,1,0.098904859
Arunachal Pradesh,Leparada,2023,4,8,0,0,0,0.090260497
Arunachal Pradesh,Lohit,2020,7,14,0,0,0,0.113621524
Arunachal Pradesh,Lohit,2021,12,18,0,0,0,0.131078835
Arunachal Pradesh,Lohit,2022,8,14,0,0,0,0.116542614
Arunachal Pradesh,Lohit,2023,7,8,0,0,0,0.101916868
Arunachal Pradesh,Longding,2020,2,2,0,0,0,0.052418979
Arunachal Pradesh,Longding,2021,4,3,0,0,0,0.07167948
Arunachal Pradesh,Longding,2022,2,4,0,0,0,0.064123635
Arunachal Pradesh,Longding,2023,4,7,0,0,7,0.130097077
Arunachal Pradesh,Lower Dibang Valley,2020,5,5,0,0,0,0.085491672
Arunachal Pradesh,Lower Dibang Valley,2021,9,12,0,0,3,0.144233629
Arunachal Pradesh,Lower Dibang Valley,2022,9,11,0,0,0,0.114042682
Arunachal Pradesh,Lower Dibang Valley,2023,2,5,0,0,0,0.068301208
Arunachal Pradesh,Lower Siang,2020,0,2,0,0,0,0.025172738
Arunachal Pradesh,Lower Siang,2021,2,6,0,0,0,0.071833295
Arunachal Pradesh,Lower Siang,2022,3,6,0,0,0,0.078967983
Arunachal Pradesh,Lower Siang,2023,3,7,0,0,0,0.082027616
Arunachal Pradesh,Namsai,2020,5,14,0,0,0,0.106486837
Arunachal Pradesh,Namsai,2021,8,8,0,1,1,0.139099653
Arunachal Pradesh,Namsai,2022,4,7,0,0,0,0.087561709
Arunachal Pradesh,Namsai,2023,18,21,0,0,0,0.14384956
Arunachal Pradesh,Pakkessang,2020,0,1,0,0,0,0.015882229
Arunachal Pradesh,Pakkessang,2021,3,8,0,0,0,0.084726404
Arunachal Pradesh,Pakkessang,2022,1,4,0,0,0,0.054067858
Arunachal Pradesh,Pakkessang,2023,2,1,0,0,0,0.04312847
Arunachal Pradesh,Papum Pare City,2020,48,111,0,0,23,0.269643127
Arunachal Pradesh,Papum Pare City,2021,55,173,0,0,32,0.28956338
Arunachal Pradesh,Papum Pare City,2022,46,150,0,0,6,0.250251921
Arunachal Pradesh,Papum Pare City,2023,54,134,0,0,8,0.256724505
Arunachal Pradesh,Papum Pare Rural,2020,4,3,0,0,0,0.07167948
Arunachal Pradesh,Papum Pare Rural,2021,0,1,0,0,0,0.015882229
Arunachal Pradesh,Papum Pare Rural,2022,3,5,0,0,2,0.097908216
Arunachal Pradesh,Papum Pare Rural,2023,0,5,0,0,0,0.041054967
Arunachal Pradesh,Shiyomi,2020,0,2,0,0,0,0.025172738
Arunachal Pradesh,Shiyomi,2021,1,1,0,0,0,0.033072693
Arunachal Pradesh,Shiyomi,2022,1,2,0,0,0,0.042363202
Arunachal Pradesh,Shiyomi,2023,0,2,0,0,0,0.025172738
Arunachal Pradesh,Siang,2020,0,6,0,0,0,0.044587055
Arunachal Pradesh,Siang,2021,5,4,0,0,2,0.10378642
Arunachal Pradesh,Siang,2022,3,3,0,0,0,0.066145387
Arunachal Pradesh,Siang,2023,2,4,0,0,0,0.064123635
Arunachal Pradesh,Siang East,2020,11,33,0,0,1,0.156605876
Arunachal Pradesh,Siang East,2021,16,23,0,0,0,0.143084809
Arunachal Pradesh,Siang East,2022,10,24,0,0,0,0.133224023
Arunachal Pradesh,Siang East,2023,34,31,0,0,0,0.167585901
Arunachal Pradesh,Siang Upper,2020,1,2,0,0,0,0.042363202
Arunachal Pradesh,Siang Upper,2021,3,6,0,0,0,0.078967983
Arunachal Pradesh,Siang Upper,2022,4,7,0,0,0,0.087561709
Arunachal Pradesh,Siang Upper,2023,3,9,0,0,0,0.087140552
Arunachal Pradesh,Siang West,2020,5,17,0,0,0,0.11066441
Arunachal Pradesh,Siang West,2021,2,14,0,0,1,0.103474829
Arunachal Pradesh,Siang West,2022,7,25,0,0,2,0.148697174
Arunachal Pradesh,Siang West,2023,10,22,0,0,0,0.131313483
Arunachal Pradesh,Subansiri Lower,2020,0,2,0,0,0,0.025172738
Arunachal Pradesh,Subansiri Lower,2021,8,8,0,0,0,0.104837957
Arunachal Pradesh,Subansiri Lower,2022,2,7,0,0,0,0.074892929
Arunachal Pradesh,Subansiri Lower,2023,6,6,0,0,0,0.092846788
Arunachal Pradesh,Subansiri Upper,2020,2,16,0,0,0,0.092164263
Arunachal Pradesh,Subansiri Upper,2021,6,14,0,0,3,0.138666778
Arunachal Pradesh,Subansiri Upper,2022,4,10,0,0,0,0.094858508
Arunachal Pradesh,Subansiri Upper,2023,0,6,0,0,0,0.044587055
Arunachal Pradesh,Tawang,2020,1,0,0,0,0,0.017190464
Arunachal Pradesh,Tawang,2021,1,3,0,0,0,0.048954923
Arunachal Pradesh,Tawang,2022,1,3,0,0,0,0.048954923
Arunachal Pradesh,Tawang,2023,3,2,0,0,0,0.059553666
Arunachal Pradesh,Tirap,2020,0,5,0,0,0,0.041054967
Arunachal Pradesh,Tirap,2021,1,7,0,0,0,0.064837152
Arunachal Pradesh,Tirap,2022,0,1,0,0,0,0.015882229
Arunachal Pradesh,Tirap,2023,4,3,0,0,0,0.07167948
Assam,B I E O,2020,0,0,0,0,0,0
Assam,B I E O,2021,0,0,0,0,0,0
Assam,B I E O,2022,0,0,0,0,0,0
Assam,B I E O,2023,0,0,0,0,0,0
Assam,Bajali,2020,,,,,,
Assam,Bajali,2021,,,,,,
Assam,Bajali,2022,31,93,0,0,15,0.246767626
Assam,Bajali,2023,133,101,0,0,18,0.287671393
Assam,Baksa,2020,109,435,0,0,77,0.344950331
Assam,Baksa,2021,127,434,0,0,52,0.340752015
Assam,Baksa,2022,74,124,0,0,21,0.280936321
Assam,Baksa,2023,280,134,0,0,14,0.307623846
Assam,Barpeta,2020,385,2296,0,0,91,0.417535947
Assam,Barpeta,2021,383,2276,0,0,109,0.420861908
Assam,Barpeta,2022,129,591,0,0,39,0.342441133
Assam,Barpeta,2023,295,306,0,0,28,0.341223466
Assam,Biswanath,2020,156,377,1,0,32,0.354225587
Assam,Biswanath,2021,129,400,0,0,16,0.31601259
Assam,Biswanath,2022,123,191,1,0,6,0.301134387
Assam,Biswanath,2023,229,192,0,0,0,0.255452758
Assam,Bongaigaon,2020,176,777,0,0,150,0.383528001
Assam,Bongaigaon,2021,147,768,0,0,115,0.373429816
Assam,Bongaigaon,2022,133,282,0,0,41,0.327279416
Assam,Bongaigaon,2023,421,324,0,0,19,0.343724029
Assam,C I D,2020,1,1,0,0,6,0.072876651
Assam,C I D,2021,0,1,0,0,3,0.044239141
Assam,C I D,2022,0,0,0,0,4,0.032921355
Assam,C I D,2023,1,1,0,0,4,0.065994048
Assam,Cachar,2020,235,1038,0,0,132,0.394694803
Assam,Cachar,2021,309,1332,0,0,208,0.416413732
Assam,Cachar,2022,146,1014,0,0,87,0.373970491
Assam,Cachar,2023,465,953,0,0,69,0.396483092
Assam,Charaideo,2020,50,191,0,0,12,0.270444258
Assam,Charaideo,2021,78,198,0,0,30,0.299894393
Assam,Charaideo,2022,64,152,0,0,9,0.265890605
Assam,Charaideo,2023,149,132,0,0,6,0.276124318
Assam,Chirang,2020,62,302,0,0,42,0.310608249
Assam,Chirang,2021,99,350,0,0,24,0.314343126
Assam,Chirang,2022,86,162,0,0,0,0.227471374
Assam,Chirang,2023,138,141,0,0,4,0.268853178
Assam,Darrang,2020,127,1173,0,0,60,0.366376479
Assam,Darrang,2021,94,1147,0,0,33,0.346512616
Assam,Darrang,2022,82,749,1,0,36,0.356457495
Assam,Darrang,2023,316,469,0,0,18,0.344032133
Assam,Dhemaji,2020,58,431,1,0,49,0.341512115
Assam,Dhemaji,2021,113,478,2,0,51,0.373486427
Assam,Dhemaji,2022,89,200,1,0,3,0.282789091
Assam,Dhemaji,2023,209,180,0,0,2,0.274198053
Assam,Dhubri,2020,312,2365,3,0,0,0.363157928
Assam,Dhubri,2021,313,2460,0,0,910,0.460894907
Assam,Dhubri,2022,267,613,1,0,25,0.373725961
Assam,Dhubri,2023,807,523,0,0,69,0.3964038
Assam,Dibrugarh,2020,221,841,3,0,236,0.442815097
Assam,Dibrugarh,2021,116,858,1,1,155,0.41759858
Assam,Dibrugarh,2022,146,395,0,1,47,0.360088512
Assam,Dibrugarh,2023,265,435,0,0,21,0.340960211
Assam,Dima Hasao,2020,19,44,0,0,19,0.222797086
Assam,Dima Hasao,2021,9,28,0,0,9,0.181360864
Assam,Dima Hasao,2022,13,30,0,0,6,0.183937837
Assam,Dima Hasao,2023,50,52,0,1,9,0.25566682
Assam,G R P,2020,2,9,0,0,0,0.080005865
Assam,G R P,2021,3,7,0,0,0,0.082027616
Assam,G R P,2022,6,10,0,0,0,0.10320322
Assam,G R P,2023,8,26,0,0,0,0.130010695
Assam,Goalpara,2020,94,632,0,0,27,0.328900741
Assam,Goalpara,2021,205,527,0,0,51,0.356603084
Assam,Goalpara,2022,55,673,0,0,39,0.32452688
Assam,Goalpara,2023,252,303,0,0,26,0.335643802
Assam,Golaghat,2020,90,665,1,0,77,0.3712732
Assam,Golaghat,2021,95,803,2,0,146,0.402347964
Assam,Golaghat,2022,63,200,2,2,16,0.348232586
Assam,Golaghat,2023,196,228,1,0,14,0.33224277
Assam,Guwahati City,2020,285,1633,5,4,932,0.551422051
Assam,Guwahati City,2021,445,1880,3,2,1282,0.544912052
Assam,Guwahati City,2022,422,979,0,0,373,0.428976169
Assam,Guwahati City,2023,571,1054,0,0,182,0.423529118
Assam,Hailakandi,2020,95,661,0,0,36,0.335887971
Assam,Hailakandi,2021,114,890,0,0,36,0.347173592
Assam,Hailakandi,2022,95,302,0,0,15,0.300832363
Assam,Hailakandi,2023,278,309,0,0,13,0.325083134
Assam,Hamren,2020,29,49,0,0,12,0.226455265
Assam,Hamren,2021,9,38,0,0,0,0.141049455
Assam,Hamren,2022,27,40,0,0,8,0.212675173
Assam,Hamren,2023,39,56,0,0,5,0.220776486
Assam,Hojai,2020,177,1118,0,0,46,0.368121947
Assam,Hojai,2021,183,1132,0,0,79,0.38010872
Assam,Hojai,2022,196,597,0,0,62,0.362272916
Assam,Hojai,2023,471,403,0,0,30,0.360451309
Assam,Jorhat,2020,85,1130,1,2,104,0.419917281
Assam,Jorhat,2021,99,989,5,1,196,0.455519127
Assam,Jorhat,2022,65,342,0,0,43,0.315073413
Assam,Jorhat,2023,113,295,0,1,32,0.339449929
Assam,Kamrup,2020,241,1560,1,0,203,0.434713267
Assam,Kamrup,2021,269,1624,0,0,217,0.418388481
Assam,Kamrup,2022,204,1217,0,0,110,0.391145741
Assam,Kamrup,2023,507,1034,0,0,60,0.397675476
Assam,Karbi Anglong,2020,63,243,1,0,45,0.328734607
Assam,Karbi Anglong,2021,124,179,0,0,25,0.305377369
Assam,Karbi Anglong,2022,70,58,0,0,5,0.235797269
Assam,Karbi Anglong,2023,206,231,0,0,8,0.302001508
Assam,Karimganj,2020,39,555,3,0,185,0.385846066
Assam,Karimganj,2021,74,769,0,1,43,0.356855997
Assam,Karimganj,2022,73,476,5,0,22,0.367305536
Assam,Karimganj,2023,333,586,3,0,25,0.399473958
Assam,Kokrajhar,2020,59,400,5,1,129,0.413640085
Assam,Kokrajhar,2021,97,523,0,5,69,0.395999016
Assam,Kokrajhar,2022,91,347,0,1,20,0.328595339
Assam,Kokrajhar,2023,407,290,1,0,10,0.349444936
Assam,Lakhimpur,2020,196,962,0,0,50,0.368867839
Assam,Lakhimpur,2021,154,1002,1,0,53,0.386341335
Assam,Lakhimpur,2022,120,399,0,0,18,0.316451228
Assam,Lakhimpur,2023,194,363,0,0,12,0.318362804
Assam,Majuli,2020,30,93,0,0,9,0.236366227
Assam,Majuli,2021,27,76,0,0,10,0.231220601
Assam,Majuli,2022,18,67,0,0,8,0.214650967
Assam,Majuli,2023,66,72,0,0,6,0.242391058
Assam,Morigaon,2020,68,1269,0,0,56,0.351465259
Assam,Morigaon,2021,482,1569,0,1,67,0.428276629
Assam,Morigaon,2022,247,548,0,0,6,0.321079089
Assam,Morigaon,2023,323,421,0,0,36,0.355738392
Assam,Nagaon,2020,410,1684,0,1,0,0.339582142
Assam,Nagaon,2021,254,1841,0,0,172,0.415113644
Assam,Nagaon,2022,164,780,0,0,17,0.338368774
Assam,Nagaon,2023,469,589,0,0,26,0.366197517
Assam,Nalbari,2020,76,627,0,0,27,0.323509136
Assam,Nalbari,2021,97,678,1,0,83,0.37506996
Assam,Nalbari,2022,86,364,0,0,8,0.290887437
Assam,Nalbari,2023,305,327,0,0,25,0.341329862
Assam,R P O,2020,5,11,0,0,0,0.101373901
Assam,R P O,2021,7,17,0,0,0,0.117799097
Assam,R P O,2022,0,0,0,0,0,0
Assam,R P O,2023,0,0,0,0,0,0
Assam,S O U,2020,0,0,0,0,0,0
Assam,S O U,2021,0,0,0,0,0,0
Assam,S O U,2022,0,0,0,0,0,0
Assam,S O U,2023,0,0,0,0,0,0
Assam,S T F,2020,0,0,0,0,0,0
Assam,S T F,2021,0,0,0,0,0,0
Assam,S T F,2022,0,0,0,0,0,0
Assam,S T F,2023,0,1,0,0,0,0.015882229
Assam,Sadia,2020,11,50,0,0,2,0.174190249
Assam,Sadia,2021,33,75,0,0,8,0.231631506
Assam,Sadia,2022,26,42,0,0,6,0.207723861
Assam,Sadia,2023,124,40,0,0,1,0.219013389
Assam,Sibsagar,2020,146,743,1,0,84,0.387462537
Assam,Sibsagar,2021,152,760,0,3,85,0.408059624
Assam,Sibsagar,2022,87,226,0,4,12,0.334442023
Assam,Sibsagar,2023,126,86,0,0,6,0.262270996
Assam,Sonitpur,2020,202,606,0,0,437,0.403023599
Assam,Sonitpur,2021,86,1157,0,0,264,0.386531721
Assam,Sonitpur,2022,205,812,0,0,504,0.412994305
Assam,Sonitpur,2023,268,418,0,0,27,0.345260077
Assam,South Salmara,2020,100,452,0,0,19,0.315870753
Assam,South Salmara,2021,107,561,0,0,19,0.32247297
Assam,South Salmara,2022,82,284,0,0,4,0.272027932
Assam,South Salmara,2023,336,265,0,0,16,0.330231286
Assam,Tamulpur,2020,,,,,,
Assam,Tamulpur,2021,,,,,,
Assam,Tamulpur,2022,61,80,0,0,4,0.235967704
Assam,Tamulpur,2023,169,88,0,0,9,0.277319762
Assam,Tinsukia,2020,169,626,1,2,144,0.429903311
Assam,Tinsukia,2021,197,731,0,2,180,0.420450122
Assam,Tinsukia,2022,183,452,3,1,85,0.423302922
