Country,state,district,year,pop_density
India,Maharashtra,Chandrapur,2010,202.7
India,Maharashtra,Dhule,2010,290.4
India,Maharashtra,Garhchiroli,2010,77.61
India,Maharashtra,Gondiya,2010,272.68
India,Maharashtra,Hingoli,2010,256.26
India,Maharashtra,Jalgaon,2010,366.67
India,Maharashtra,Jalna,2010,255.3
India,Maharashtra,Kolhapur,2010,492.32
India,Maharashtra,Latur,2010,341.15
India,Maharashtra,MumbaiCity,2010,47329.69
India,Maharashtra,MumbaiSuburban,2010,24783.72
India,Maharashtra,Nagpur,2010,479.76
India,Maharashtra,Nanded,2010,324.6
India,Maharashtra,Nandurbar,2010,279
India,Maharashtra,Nashik,2010,395.79
India,Maharashtra,Osmanabad,2010,232.35
India,Maharashtra,Palghar,2010,551.95
India,Maharashtra,Parbhani,2010,289.56
India,Maharashtra,Pune,2010,607.77
India,Maharashtra,Raigarh,2010,203.66
India,Maharashtra,Raigarh,2010,369.13
India,Maharashtra,Ratnagiri,2010,197.6
India,Maharashtra,Sangli,2010,356.23
India,Maharashtra,Satara,2010,291.26
India,Maharashtra,Sindhudurg,2010,167.95
India,Maharashtra,Solapur,2010,297.57
India,Maharashtra,Thane,2010,1722.29
India,Maharashtra,Wardha,2010,213.85
India,Maharashtra,Washim,2010,234.08
India,Maharashtra,Yavatmal,2010,209.77
India,Manipur,Bishnupur,2010,576.24
India,Manipur,Chandel,2010,44.57
India,Manipur,Churachandpur,2010,56.38
India,Manipur,ImphalEast,2010,595.56
India,Manipur,ImphalWest,2010,1131.04
India,Manipur,Senapati,2010,114.61
India,Manipur,Tamenglong,2010,34.44
India,Manipur,Thoubal,2010,707.03
India,Manipur,Ukhrul,2010,40.46
India,Meghalaya,EastGaroHills,2010,93.09
India,Meghalaya,EastKhasiHills,2010,293.02
India,Meghalaya,JaintiaHills,2010,107.25
India,Meghalaya,NorthGaroHills,2010,119.89
India,Meghalaya,RiBhoi,2010,105.55
India,Meghalaya,SouthGaroHills,2010,76.25
India,Meghalaya,SouthWestGaroHills,2010,317.09
India,Meghalaya,SouthWestKhasiHills,2010,77.86
India,Meghalaya,WestGaroHills,2010,197.7
India,Meghalaya,WestKhasiHills,2010,68.26
India,Mizoram,Aizawl,2010,115.22
India,Mizoram,Champhai,2010,35.4
India,Mizoram,Kolasib,2010,80.17
India,Mizoram,Lawangtlai,2010,50.19
India,Mizoram,Lunglei,2010,35.83
India,Mizoram,Mamit,2010,29.31
India,Mizoram,Saiha,2010,36
India,Mizoram,Serchhip,2010,45.33
India,Nagaland,Dimapur,2010,613.2
India,Nagaland,Kiphire,2010,69.63
India,Nagaland,Kohima,2010,195.64
India,Nagaland,Longleng,2010,94.91
India,Nagaland,Mokokchung,2010,127.57
India,Nagaland,Mon,2010,109.75
India,Nagaland,Peren,2010,55.6
India,Nagaland,Phek,2010,80.62
India,Nagaland,Tuensang,2010,90.05
India,Nagaland,Wokha,2010,85.95
India,Nagaland,Zunheboto,2010,90.83
India,NCTofDelhi,West,2010,11027.29
India,Odisha,Anugul,2010,199.39
India,Odisha,Balangir,2010,263.04
India,Odisha,Baleshwar,2010,611.1
India,Odisha,Bargarh,2010,244.98
India,Odisha,Bauda,2010,150.02
India,Odisha,Bhadrak,2010,594.41
India,Odisha,Cuttack,2010,756.48
India,Odisha,Debagarh,2010,115.37
India,Odisha,Dhenkanal,2010,287.77
India,Odisha,Gajapati,2010,154.1
India,Odisha,Ganjam,2010,431.55
India,Odisha,Jagatsinghapur,2010,711.5
India,Odisha,Jajapur,2010,664.87
India,Odisha,Jharsuguda,2010,277.31
India,Odisha,Kalahandi,2010,206.86
India,Odisha,Kandhamal,2010,93.92
India,Odisha,Kendrapara,2010,635.1
India,Odisha,Kendujhar,2010,226.48
India,Odisha,Khordha,2010,696.01
India,Odisha,Koraput,2010,166.15
India,Odisha,Malkangiri,2010,110.27
India,Odisha,Mayurbhanj,2010,252.08
India,Odisha,Nabarangapur,2010,231.14
India,Odisha,Nayagarh,2010,248.92
India,Odisha,Nuapada,2010,166.27
India,Odisha,Puri,2010,481.33
India,Odisha,Rayagada,2010,138.64
India,Odisha,Sambalpur,2010,178.04
India,Odisha,Subarnapur,2010,259.14
India,Odisha,Sundargarh,2010,218.71
India,Puducherry,Karaikal,2010,1235.22
India,Puducherry,Mahe,2010,1045.96
India,Puducherry,Puducherry,2010,3457.18
India,Puducherry,Yanam,2010,1104.69
India,Punjab,Amritsar,2010,932.33
India,Punjab,Barnala,2010,436.68
India,Punjab,Bathinda,2010,447.49
India,Punjab,Faridkot,2010,423
India,Punjab,FatehgarhSahib,2010,511.97
India,Punjab,Fazilka,2010,364.02
India,Punjab,Firozpur,2010,393.74
India,Punjab,Gurdaspur,2010,664.88
India,Punjab,Hoshiarpur,2010,497.58
India,Punjab,Jalandhar,2010,879.24
India,Punjab,Kapurthala,2010,474.53
India,Punjab,Ludhiana,2010,971.31
India,Punjab,Mansa,2010,317.79
India,Punjab,Moga,2010,433.23
India,Punjab,Muktsar,2010,379.49
India,Punjab,Pathankot,2010,690.02
India,Punjab,Patiala,2010,595.83
India,Punjab,Rupnagar,2010,493.52
India,Punjab,SahibzadaAjitSinghNagar,2010,1176.37
India,Punjab,Sangrur,2010,469.42
India,Punjab,ShahidBhagatSinghNagar,2010,516.33
India,Punjab,TarnTaran,2010,468.26
India,Rajasthan,Ajmer,2010,306.11
India,Rajasthan,Alwar,2010,457.21
India,Rajasthan,Banswara,2010,409.52
India,Rajasthan,Baran,2010,180.25
India,Rajasthan,Barmer,2010,91.02
India,Rajasthan,Bharatpur,2010,493.9
India,Rajasthan,Bhilwara,2010,236.9
India,Rajasthan,Bikaner,2010,75.57
India,Rajasthan,Bundi,2010,205.34
India,Rajasthan,Chittaurgarh,2010,210.4
India,Rajasthan,Churu,2010,138.37
India,Rajasthan,Dausa,2010,510.83
India,Rajasthan,Dhaulpur,2010,414.85
India,Rajasthan,Dungarpur,2010,368.26
India,Rajasthan,Ganganagar,2010,182.26
India,Rajasthan,Hanumangarh,2010,189.24
India,Rajasthan,Jaipur,2010,596.49
India,Rajasthan,Jaisalmer,2010,17.09
India,Rajasthan,Jalor,2010,171.92
India,Rajasthan,Jhalawar,2010,233.8
India,Rajasthan,Jhunjhunun,2010,383.57
India,Rajasthan,Jodhpur,2010,163.18
India,Rajasthan,Karauli,2010,294.23
India,Rajasthan,Kota,2010,358.12
India,Rajasthan,Nagaur,2010,186.76
India,Rajasthan,Pali,2010,167.96
India,Rajasthan,Pratapgarh,2010,205.44
India,Rajasthan,Pratapgarh,2010,782.53
India,Rajasthan,Rajsamand,2010,249.84
India,Rajasthan,SawaiMadhopur,2010,277.99
India,Rajasthan,Sikar,2010,348.93
India,Rajasthan,Sirohi,2010,204.37
India,Rajasthan,Tonk,2010,197.18
India,Rajasthan,Udaipur,2010,254.64
India,Sikkim,EastSikkim,2010,314.75
India,Sikkim,NorthSikkim,2010,9.97
India,Sikkim,SouthSikkim,2010,198.77
India,Sikkim,WestSikkim,2010,106.46
India,TamilNadu,Ariyalur,2010,369.13
India,TamilNadu,Chennai,2010,23493.78
India,TamilNadu,Coimbatore,2010,804.52
India,TamilNadu,Cuddalore,2010,742.03
India,TamilNadu,Dharmapuri,2010,345.81
India,TamilNadu,Dindigul,2010,369.08
India,TamilNadu,Erode,2010,352.88
India,TamilNadu,Kancheepuram,2010,1035.18
India,TamilNadu,Kanniyakumari,2010,1227.23
India,TamilNadu,Karur,2010,348.36
India,TamilNadu,Krishnagiri,2010,369.48
India,TamilNadu,Madurai,2010,825.2
India,TamilNadu,Nagappattinam,2010,686.71
India,TamilNadu,Namakkal,2010,557.34
India,TamilNadu,Perambalur,2010,290.27
India,TamilNadu,Pudukkottai,2010,360.3
India,TamilNadu,Ramanathapuram,2010,303.24
India,TamilNadu,Salem,2010,706.89
India,TamilNadu,Sivaganga,2010,358.46
India,TamilNadu,Thanjavur,2010,713.67
India,TamilNadu,TheNilgiris,2010,302.12
India,TamilNadu,Theni,2010,465.55
India,TamilNadu,Thiruvallur,2010,980.61
India,TamilNadu,Thiruvarur,2010,571.48
India,TamilNadu,Thoothukkudi,2010,384.01
India,TamilNadu,Tiruchirappalli,2010,644.27
India,TamilNadu,Tirunelveli,2010,459.8
India,TamilNadu,Tiruppur,2010,507.1
India,TamilNadu,Tiruvannamalai,2010,426.19
India,TamilNadu,Vellore,2010,648.51
India,TamilNadu,Viluppuram,2010,519.96
India,TamilNadu,Virudunagar,2010,466.44
India,Telangana,Adilabad,2010,169.47
India,Telangana,Hyderabad,2010,17906.83
India,Telangana,Karimnagar,2010,333.91
India,Telangana,Khammam,2010,179.01
India,Telangana,Mahbubnagar,2010,227.27
India,Telangana,Medak,2010,318.73
India,Telangana,Nalgonda,2010,255.21
India,Telangana,Nizamabad,2010,332.21
India,Telangana,RangaReddy,2010,838.85
India,Telangana,Warangal,2010,287.7
India,Tripura,Dhalai,2010,153.42
India,Tripura,Gomati,2010,353.17
India,Tripura,Khowai,2010,291.68
India,Tripura,NorthTripura,2010,266.48
India,Tripura,Sipahijala,2010,443.04
India,Tripura,SouthTripura,2010,267.97
India,Tripura,Unokoti,2010,440.81
India,Tripura,WestTripura,2010,1004.27
India,UttarPradesh,Agra,2010,1145.87
India,UttarPradesh,Aligarh,2010,974.12
India,UttarPradesh,Allahabad,2010,846.6
India,UttarPradesh,AmbedkarNagar,2010,1095.04
India,UttarPradesh,Amethi,2010,810.64
India,UttarPradesh,Amroha,2010,856.17
India,UttarPradesh,Auraiya,2010,664.3
India,UttarPradesh,Azamgarh,2010,1080.23
India,UttarPradesh,Baghpat,2010,979.46
India,UttarPradesh,Bahraich,2010,606.91
India,UttarPradesh,Ballia,2010,1080.48
India,UttarPradesh,Balrampur,2010,210.34
India,UttarPradesh,Balrampur,2010,635.01
India,UttarPradesh,Banda,2010,415.23
India,UttarPradesh,Barabanki,2010,844.07
India,UttarPradesh,Bareilly,2010,1138.51
India,UttarPradesh,Basti,2010,846.17
India,UttarPradesh,Bijnor,2010,849.49
India,UttarPradesh,Budaun,2010,780.31
India,UttarPradesh,Bulandshahr,2010,1014.59
India,UttarPradesh,Chandauli,2010,713.27
India,UttarPradesh,Chitrakoot,2010,332.09
India,UttarPradesh,Deoria,2010,1209.84
India,UttarPradesh,Etah,2010,751.26
India,UttarPradesh,Etawah,2010,738.33
India,UttarPradesh,Faizabad,2010,1223.89
India,UttarPradesh,Farrukhabad,2010,884.73
India,UttarPradesh,Fatehpur,2010,645.93
India,UttarPradesh,Firozabad,2010,1054.45
India,UttarPradesh,GautamBuddhaNagar,2010,2088.07
India,UttarPradesh,Ghaziabad,2010,2885.95
India,UttarPradesh,Ghazipur,2010,1077.94
India,UttarPradesh,Gonda,2010,761.25
India,UttarPradesh,Gorakhpur,2010,1394.47
India,UttarPradesh,Hamirpur,2010,111.34
India,UttarPradesh,Hamirpur,2010,333.45
India,UttarPradesh,Hapur,2010,1262.34
India,UttarPradesh,Hardoi,2010,694.07
India,UttarPradesh,Hathras,2010,963.67
India,UttarPradesh,Jalaun,2010,388.6
India,UttarPradesh,Jaunpur,2010,1100.58
India,UttarPradesh,Jhansi,2010,404.28
India,UttarPradesh,Kannauj,2010,818.61
India,UttarPradesh,KanpurDehat,2010,575.39
India,UttarPradesh,KanpurNagar,2010,1540.2
India,UttarPradesh,Kasganj,2010,719.8
India,UttarPradesh,Kaushambi,2010,1626.08
India,UttarPradesh,Kushinagar,2010,1260.44
India,UttarPradesh,LakhimpurKheri,2010,522.59
India,UttarPradesh,Lalitpur,2010,247.31
India,UttarPradesh,Lucknow,2010,1895.68
India,UttarPradesh,Maharajganj,2010,993.11
India,UttarPradesh,Mahoba,2010,305.89
India,UttarPradesh,Mainpuri,2010,693.24
India,UttarPradesh,Mathura,2010,772.05
India,UttarPradesh,Mau,2010,1214.9
India,UttarPradesh,Meerut,2010,1357.04
India,UttarPradesh,Mirzapur,2010,611.31
India,UttarPradesh,Moradabad,2010,1429.93
India,UttarPradesh,Muzaffarnagar,2010,1089.79
India,UttarPradesh,Pilibhit,2010,579.44
India,UttarPradesh,Pratapgarh,2010,240.05
India,UttarPradesh,Pratapgarh,2010,914.33
India,UttarPradesh,RaeBareli,2010,757.91
India,UttarPradesh,Rampur,2010,990.09
India,UttarPradesh,Saharanpur,2010,937.71
India,UttarPradesh,Sambhal,2010,982.84
India,UttarPradesh,SantKabirNagar,2010,1046.87
India,UttarPradesh,SantRaviDasNagar,2010,1662.69
India,UttarPradesh,Shahjahanpur,2010,684.26
India,UttarPradesh,Shamli,2010,938.68
India,UttarPradesh,Shravasti,2010,722.01
India,UttarPradesh,SiddharthNagar,2010,944.48
India,UttarPradesh,Sitapur,2010,789.57
India,UttarPradesh,Sonbhadra,2010,281.97
India,UttarPradesh,Sultanpur,2010,919.29
India,UttarPradesh,Unnao,2010,675.56
India,UttarPradesh,Varanasi,2010,2567.2
India,Uttarakhand,Almora,2010,213.23
India,Uttarakhand,Bageshwar,2010,112.71
India,Uttarakhand,Chamoli,2010,56.97
India,Uttarakhand,Chamoli,2010,0
India,Uttarakhand,Chamoli,2010,8234.01
India,Uttarakhand,Chamoli,2010,0
India,Uttarakhand,Champawat,2010,119.43
India,Uttarakhand,Dehradun,2010,539.56
India,Uttarakhand,Garhwal,2010,174.16
India,Uttarakhand,Hardwar,2010,835.79
India,Uttarakhand,Nainital,2010,235.01
India,Uttarakhand,Pithoragarh,2010,72.57
India,Uttarakhand,Pithoragarh,2010,0
India,Uttarakhand,Pithoragarh,2010,2536.24
India,Uttarakhand,Pithoragarh,2010,0.05
India,Uttarakhand,Rudraprayag,2010,107.63
India,Uttarakhand,TehriGarhwal,2010,128.02
India,Uttarakhand,UdhamSinghNagar,2010,613.78
India,Uttarakhand,Uttarkashi,2010,54.5
India,Uttarakhand,Uttarkashi,2010,0.04
India,Uttarakhand,Uttarkashi,2010,391.73
India,Uttarakhand,Uttarkashi,2010,0.31
India,WestBengal,Alipurduar,2010,462.07
India,WestBengal,Bankura,2010,519.5
India,WestBengal,Barddhaman,2010,1154.63
India,WestBengal,Birbhum,2010,804.64
India,WestBengal,DakshinDinajpur,2010,760.83
India,WestBengal,Darjiling,2010,592.04
India,WestBengal,Haora,2010,2760.02
India,WestBengal,Hugli,2010,1729.13
India,WestBengal,Jalpaiguri,2010,756.65
India,WestBengal,KochBihar,2010,876.31
India,WestBengal,Kolkata,2010,36423.2
India,WestBengal,Maldah,2010,1001.16
India,WestBengal,Murshidabad,2010,1331.43
India,WestBengal,Nadia,2010,1249.72
India,WestBengal,North24Parganas,2010,1715.79
India,WestBengal,PashchimMedinipur,2010,650.12
India,WestBengal,PurbaMedinipur,2010,1302.04
India,WestBengal,Puruliya,2010,480.7
India,WestBengal,South24Parganas,2010,1977.75
India,WestBengal,UttarDinajpur,2010,892.01
India,AndamanandNicobar,NicobarIslands,2015,20.21
India,AndamanandNicobar,NorthandMiddleAndaman,2015,30.85
India,AndamanandNicobar,SouthAndaman,2015,97.95
India,AndhraPradesh,Anantapur,2015,227.88
India,AndhraPradesh,Chittoor,2015,294.2
India,AndhraPradesh,EastGodavari,2015,510.34
India,AndhraPradesh,Guntur,2015,457.21
India,AndhraPradesh,Krishna,2015,539.13
India,AndhraPradesh,Kurnool,2015,245.88
India,AndhraPradesh,Nellore,2015,241.86
India,AndhraPradesh,Prakasam,2015,202.47
India,AndhraPradesh,Srikakulam,2015,466.21
India,AndhraPradesh,Visakhapatnam,2015,407.56
India,AndhraPradesh,Vizianagaram,2015,393.68
India,AndhraPradesh,WestGodavari,2015,532.94
India,AndhraPradesh,Y.S.R.,2015,201.85
India,ArunachalPradesh,Anjaw,2015,6.36
India,ArunachalPradesh,Anjaw,2015,6.16
India,ArunachalPradesh,Anjaw,2015,2.33
India,ArunachalPradesh,Anjaw,2015,2.26
India,ArunachalPradesh,Changlang,2015,32.1
India,ArunachalPradesh,DibangValley,2015,0.81
India,ArunachalPradesh,EastKameng,2015,18.19
India,ArunachalPradesh,EastSiang,2015,70.57
India,ArunachalPradesh,EastSiang,2015,40.08
India,ArunachalPradesh,EastSiang,2015,25
India,ArunachalPradesh,EastSiang,2015,14.2
India,ArunachalPradesh,KurungKumey,2015,13.53
India,ArunachalPradesh,Lohit,2015,22.62
India,ArunachalPradesh,Lohit,2015,0
India,ArunachalPradesh,Lohit,2015,621.27
India,ArunachalPradesh,Lohit,2015,0
India,ArunachalPradesh,Longding,2015,57.78
India,ArunachalPradesh,LowerDibangValley,2015,34.81
India,ArunachalPradesh,LowerDibangValley,2015,6.59
India,ArunachalPradesh,LowerDibangValley,2015,11.33
India,ArunachalPradesh,LowerDibangValley,2015,2.14
India,ArunachalPradesh,LowerSubansiri,2015,33.45
India,ArunachalPradesh,Namsai,2015,177.84
India,ArunachalPradesh,PapumPare,2015,53.27
India,ArunachalPradesh,Tawang,2015,24.24
India,ArunachalPradesh,Tirap,2015,59.77
India,ArunachalPradesh,UpperSiang,2015,4.82
India,ArunachalPradesh,UpperSubansiri,2015,14.69
India,ArunachalPradesh,WestKameng,2015,13.93
India,ArunachalPradesh,WestSiang,2015,13.88
India,Assam,Baksa,2015,458.09
India,Assam,Barpeta,2015,749.82
India,Assam,Bongaigaon,2015,533.37
India,Assam,Cachar,2015,494.92
India,Assam,Chirang,2015,483.39
India,Assam,Darrang,2015,630.85
India,Assam,Dhemaji,2015,268.47
India,Assam,Dhubri,2015,730.51
India,Assam,Dibrugarh,2015,403.02
India,Assam,DimaHasao,2015,50.81
India,Assam,Goalpara,2015,538.53
India,Assam,Golaghat,2015,322.3
India,Assam,Hailakandi,2015,505.92
India,Assam,Jorhat,2015,399.73
India,Assam,Kamrup,2015,463.52
India,Assam,KamrupMetropolitan,2015,1629.17
India,Assam,KarbiAnglong,2015,78.71
India,Assam,Karimganj,2015,702.15
India,Assam,Kokrajhar,2015,302.42
India,Assam,Lakhimpur,2015,358.52
India,Assam,Morigaon,2015,666.36
India,Assam,Nagaon,2015,764.13
India,Assam,Nalbari,2015,879.72
India,Assam,Sivasagar,2015,473.31
India,Assam,Sonitpur,2015,385.28
India,Assam,Tinsukia,2015,327.09
India,Assam,Udalguri,2015,430.34
India,Bihar,Araria,2015,1154.16
India,Bihar,Arwal,2015,915.17
India,Bihar,Aurangabad,2015,876.54
India,Bihar,Aurangabad,2015,1228.73
India,Bihar,Banka,2015,831.01
India,Bihar,Begusarai,2015,1755.55
India,Bihar,Bhagalpur,2015,1221.16
India,Bihar,Bhojpur,2015,1273.93
India,Bihar,Buxar,2015,1127.77
India,Bihar,Darbhanga,2015,1789.35
India,Bihar,Gaya,2015,983.18
India,Bihar,Gopalganj,2015,1336.45
India,Bihar,Jamui,2015,648.21
India,Bihar,Jehanabad,2015,1354.49
India,Bihar,Kaimur,2015,521.57
India,Bihar,Katihar,2015,1071.26
India,Bihar,Khagaria,2015,1265.8
India,Bihar,Kishanganj,2015,967.23
India,Bihar,Lakhisarai,2015,874.61
India,Bihar,Madhepura,2015,1226.28
India,Bihar,Madhubani,2015,1349.05
India,Bihar,Munger,2015,1100.59
India,Bihar,Muzaffarpur,2015,1707.95
India,Bihar,Nalanda,2015,1396.04
India,Bihar,Nawada,2015,1014.95
India,Bihar,PashchimChamparan,2015,820.54
India,Bihar,Patna,2015,2041.27
India,Bihar,PurbaChamparan,2015,1420.93
India,Bihar,Purnia,2015,1131.72
India,Bihar,Rohtas,2015,860.32
India,Bihar,Saharsa,2015,1275.53
India,Bihar,Samastipur,2015,1766.74
India,Bihar,Saran,2015,1632
India,Bihar,Sheikhpura,2015,1137.08
India,Bihar,Sheohar,2015,1618.86
India,Bihar,Sitamarhi,2015,1723.4
India,Bihar,Siwan,2015,1618.48
India,Bihar,Supaul,2015,1054.93
India,Bihar,Vaishali,2015,1987.08
India,Chandigarh,Chandigarh,2015,7389.79
India,Chhattisgarh,Balod,2015,248.41
India,Chhattisgarh,BalodaBazar,2015,310.58
India,Chhattisgarh,Balrampur,2015,120.94
India,Chhattisgarh,Balrampur,2015,370.69
India,Chhattisgarh,Bastar,2015,154.85
India,Chhattisgarh,Bemetara,2015,299.18
India,Chhattisgarh,Bijapur,2015,30.85
India,Chhattisgarh,Bijapur,2015,274.75
India,Chhattisgarh,Bilaspur,2015,383.13
India,Chhattisgarh,Bilaspur,2015,84.02
India,Chhattisgarh,Dantewada,2015,101.49
India,Chhattisgarh,Dhamtari,2015,213
India,Chhattisgarh,Durg,2015,704.19
India,Chhattisgarh,Gariaband,2015,111.31
India,Chhattisgarh,Janjgir-Champa,2015,476.56
India,Chhattisgarh,Jashpur,2015,156.78
India,Chhattisgarh,Kabeerdham,2015,221.23
India,Chhattisgarh,Kondagaon,2015,121.06
India,Chhattisgarh,Korba,2015,200.53
India,Chhattisgarh,Koriya,2015,110.3
India,Chhattisgarh,Mahasamund,2015,228.16
India,Chhattisgarh,Mungeli,2015,274.24
India,Chhattisgarh,Narayanpur,2015,30.71
India,Chhattisgarh,Raigarh,2015,217.99
India,Chhattisgarh,Raigarh,2015,394.57
India,Chhattisgarh,Raipur,2015,766.75
India,Chhattisgarh,Rajnandgaon,2015,205.44
India,Chhattisgarh,Sukma,2015,48.41
India,Chhattisgarh,Surajpur,2015,154.83
India,Chhattisgarh,Surguja,2015,229.52
India,Chhattisgarh,UttarBastarKanker,2015,117.86
India,DadraandNagarHaveli,DadraandNagarHaveli,2015,988.83
India,DamanandDiu,Daman,2015,1948.94
India,DamanandDiu,Diu,2015,2553.52
India,Goa,NorthGoa,2015,491.15
India,Goa,SouthGoa,2015,344.65
India,Gujarat,Ahmadabad,2015,1053.76
India,Gujarat,Amreli,2015,219.33
India,Gujarat,Anand,2015,916.2
India,Gujarat,Aravalli,2015,354.76
India,Gujarat,BanasKantha,2015,315.31
India,Gujarat,Bharuch,2015,305.9
India,Gujarat,Bhavnagar,2015,374.75
India,Gujarat,Botad,2015,298.92
India,Gujarat,ChhotaUdaipur,2015,332.38
India,Gujarat,Dahod,2015,608.76
India,Gujarat,DevbhumiDwarka,2015,185.39
India,Gujarat,Gandhinagar,2015,585.36
India,Gujarat,GirSomnath,2015,504.67
India,Gujarat,Jamnagar,2015,215.33
India,Gujarat,Junagadh,2015,280.8
India,Gujarat,Kachchh,2015,53.82
India,Gujarat,Kheda,2015,538.21
India,Gujarat,Mahesana,2015,493.02
India,Gujarat,Mahisagar,2015,436.15
India,Gujarat,Morbi,2015,206.98
India,Gujarat,Narmada,2015,222.37
India,Gujarat,Navsari,2015,651.33
India,Gujarat,PanchMahals,2015,578.58
India,Gujarat,Patan,2015,262.14
India,Gujarat,Porbandar,2015,273.4
India,Gujarat,Rajkot,2015,424.62
India,Gujarat,SabarKantha,2015,353.16
India,Gujarat,Surat,2015,1587.68
India,Gujarat,Surendranagar,2015,182.73
India,Gujarat,Tapi,2015,288.71
India,Gujarat,TheDangs,2015,151.09
India,Gujarat,Vadodara,2015,806.32
India,Gujarat,Valsad,2015,635.55
India,Haryana,Ambala,2015,758.68
India,Haryana,Bhiwani,2015,374.95
India,Haryana,Faridabad,2015,2016.07
India,Haryana,Fatehabad,2015,400.64
India,Haryana,Gurgaon,2015,1454.46
India,Haryana,Hisar,2015,457.54
India,Haryana,Jhajjar,2015,516.86
India,Haryana,Jind,2015,517.72
India,Haryana,Kaithal,2015,520.86
India,Haryana,Karnal,2015,633.59
India,Haryana,Kurukshetra,2015,595.96
India,Haryana,Mahendragarh,2015,497.01
India,Haryana,Mewat,2015,722.36
India,Haryana,Palwal,2015,974.33
India,Haryana,Panchkula,2015,727.38
India,Haryana,Panipat,2015,1054.67
India,Haryana,Rewari,2015,617.47
India,Haryana,Rohtak,2015,693.06
India,Haryana,Sirsa,2015,330.73
India,Haryana,Sonipat,2015,740.35
India,Haryana,Yamunanagar,2015,881.22
India,HimachalPradesh,Bilaspur,2015,1818.58
India,HimachalPradesh,Bilaspur,2015,398.83
India,HimachalPradesh,Chamba,2015,84.16
India,HimachalPradesh,Hamirpur,2015,434.98
India,HimachalPradesh,Hamirpur,2015,1286.57
India,HimachalPradesh,Kangra,2015,280.03
India,HimachalPradesh,Kinnaur,2015,14.08
India,HimachalPradesh,Kinnaur,2015,0.01
India,HimachalPradesh,Kinnaur,2015,0
India,HimachalPradesh,Kinnaur,2015,770.03
India,HimachalPradesh,Kinnaur,2015,0.43
India,HimachalPradesh,Kinnaur,2015,0.12
India,HimachalPradesh,Kinnaur,2015,875.69
India,HimachalPradesh,Kinnaur,2015,0.49
India,HimachalPradesh,Kinnaur,2015,0.13
India,HimachalPradesh,Kullu,2015,82.12
India,HimachalPradesh,Lahul&Spiti,2015,2.39
India,HimachalPradesh,Lahul&Spiti,2015,0
India,HimachalPradesh,Lahul&Spiti,2015,168.84
India,HimachalPradesh,Lahul&Spiti,2015,0.19
India,HimachalPradesh,Mandi,2015,278.21
India,HimachalPradesh,Shimla,2015,171.49
India,HimachalPradesh,Sirmaur,2015,189.51
India,HimachalPradesh,Solan,2015,348.66
India,HimachalPradesh,Una,2015,337.7
India,JammuandKashmir,Anantnag,2015,393.74
India,JammuandKashmir,Badgam,2015,671.37
India,JammuandKashmir,Bandipore,2015,83.44
India,JammuandKashmir,Baramulla,2015,521.36
India,JammuandKashmir,Doda,2015,216.76
India,JammuandKashmir,Ganderbal,2015,290.39
India,JammuandKashmir,Jammu,2015,749.03
India,JammuandKashmir,Kargil,2015,10.4
India,JammuandKashmir,Kathua,2015,242.28
India,JammuandKashmir,Kishtwar,2015,26.34
India,JammuandKashmir,Kulgam,2015,453.95
India,JammuandKashmir,Kupwara,2015,338.27
India,JammuandKashmir,Leh(Ladakh),2015,3.03
India,JammuandKashmir,Poonch,2015,357.29
India,JammuandKashmir,Pulwama,2015,846.6
India,JammuandKashmir,Rajouri,2015,223.71
India,JammuandKashmir,Ramban,2015,277.36
India,JammuandKashmir,Reasi,2015,164.36
India,JammuandKashmir,Samba,2015,486.95
India,JammuandKashmir,Shupiyan,2015,723.83
India,JammuandKashmir,Srinagar,2015,1995.69
India,JammuandKashmir,Udhampur,2015,270.86
India,Jharkhand,Bokaro,2015,778.51
India,Jharkhand,Chatra,2015,314.75
India,Jharkhand,Deoghar,2015,671.13
India,Jharkhand,Dhanbad,2015,1425.72
India,Jharkhand,Dumka,2015,371.45
India,Jharkhand,Garhwa,2015,379.18
India,Jharkhand,Giridih,2015,541.46
India,Jharkhand,Godda,2015,615.11
India,Jharkhand,Gumla,2015,214.81
India,Jharkhand,Hazaribagh,2015,430.82
India,Jharkhand,Jamtara,2015,445.24
India,Jharkhand,Khunti,2015,214.55
India,Jharkhand,Kodarma,2015,473.01
India,Jharkhand,Latehar,2015,197.79
India,Jharkhand,Lohardaga,2015,340.25
India,Jharkhand,Pakur,2015,492.94
India,Jharkhand,Palamu,2015,468.5
India,Jharkhand,PashchimiSinghbhum,2015,226.9
India,Jharkhand,PurbiSinghbhum,2015,762.5
India,Jharkhand,Ramgarh,2015,737.75
India,Jharkhand,Ranchi,2015,664.11
India,Jharkhand,Sahibganj,2015,784.79
India,Jharkhand,Saraikela-kharsawan,2015,355.42
India,Jharkhand,Simdega,2015,169.61
India,Karnataka,Bagalkot,2015,297.02
India,Karnataka,Bangalore,2015,5280.48
India,Karnataka,BangaloreRural,2015,497.7
India,Karnataka,Belgaum,2015,382.55
India,Karnataka,Bellary,2015,318.18
India,Karnataka,Bidar,2015,330.47
India,Karnataka,Bijapur,2015,25.69
India,Karnataka,Bijapur,2015,228.83
India,Karnataka,Chamrajnagar,2015,189.64
India,Karnataka,Chikballapura,2015,299.11
India,Karnataka,Chikmagalur,2015,166.43
India,Karnataka,Chitradurga,2015,207.35
India,Karnataka,DakshinaKannada,2015,491.87
India,Karnataka,Davanagere,2015,365.96
