Country,state,district,year,pop_density
India,ArunachalPradesh,EastSiang,2005,35.48
India,ArunachalPradesh,EastSiang,2005,22.36
India,ArunachalPradesh,EastSiang,2005,12.57
India,ArunachalPradesh,KurungKumey,2005,7.14
India,ArunachalPradesh,Lohit,2005,19.82
India,ArunachalPradesh,Lohit,2005,0
India,ArunachalPradesh,Lohit,2005,544.52
India,ArunachalPradesh,Lohit,2005,0
India,ArunachalPradesh,Longding,2005,51.6
India,ArunachalPradesh,LowerDibangValley,2005,32.82
India,ArunachalPradesh,LowerDibangValley,2005,6.18
India,ArunachalPradesh,LowerDibangValley,2005,10.68
India,ArunachalPradesh,LowerDibangValley,2005,2.01
India,ArunachalPradesh,LowerSubansiri,2005,21.76
India,ArunachalPradesh,Namsai,2005,156.23
India,ArunachalPradesh,PapumPare,2005,38.92
India,ArunachalPradesh,Tawang,2005,19.58
India,ArunachalPradesh,Tirap,2005,52.45
India,ArunachalPradesh,UpperSiang,2005,4.59
India,ArunachalPradesh,UpperSubansiri,2005,10.42
India,ArunachalPradesh,WestKameng,2005,12.34
India,ArunachalPradesh,WestSiang,2005,12.94
India,Assam,Baksa,2005,420.18
India,Assam,Barpeta,2005,643.57
India,Assam,Bongaigaon,2005,452.74
India,Assam,Cachar,2005,426.73
India,Assam,Chirang,2005,446.18
India,Assam,Darrang,2005,540.9
India,Assam,Dhemaji,2005,232.97
India,Assam,Dhubri,2005,613.5
India,Assam,Dibrugarh,2005,369.09
India,Assam,DimaHasao,2005,45.88
India,Assam,Goalpara,2005,462.5
India,Assam,Golaghat,2005,295.29
India,Assam,Hailakandi,2005,431.1
India,Assam,Jorhat,2005,374.41
India,Assam,Kamrup,2005,413.23
India,Assam,KamrupMetropolitan,2005,1397.06
India,Assam,KarbiAnglong,2005,68.37
India,Assam,Karimganj,2005,601.48
India,Assam,Kokrajhar,2005,286.88
India,Assam,Lakhimpur,2005,315.35
India,Assam,Morigaon,2005,563.66
India,Assam,Nagaon,2005,652.02
India,Assam,Nalbari,2005,800.2
India,Assam,Sivasagar,2005,443.28
India,Assam,Sonitpur,2005,343.75
India,Assam,Tinsukia,2005,292.64
India,Assam,Udalguri,2005,399.69
India,Bihar,Araria,2005,923.49
India,Bihar,Arwal,2005,787.03
India,Bihar,Aurangabad,2005,719.34
India,Bihar,Aurangabad,2005,1011.65
India,Bihar,Banka,2005,681.29
India,Bihar,Begusarai,2005,1437.56
India,Bihar,Bhagalpur,2005,1006.79
India,Bihar,Bhojpur,2005,1078
India,Bihar,Buxar,2005,955.42
India,Bihar,Darbhanga,2005,1532.23
India,Bihar,Gaya,2005,806.3
India,Bihar,Gopalganj,2005,1147.5
India,Bihar,Jamui,2005,533.71
India,Bihar,Jehanabad,2005,1144.15
India,Bihar,Kaimur,2005,426.83
India,Bihar,Katihar,2005,867.13
India,Bihar,Khagaria,2005,1013.15
India,Bihar,Kishanganj,2005,772.89
India,Bihar,Lakhisarai,2005,725.26
