District,Year,Annual Total Rainfall (mm),Annual Rainfall Anomaly (mm),Extreme Rainfall Days (90th Percentile),Very Heavy Rainfall Days (>50mm),Longest Consecutive Dry Spell (days),Longest Consecutive Wet Spell (days),Maximum Daily Rainfall (mm),Rainfall Hazard Index (Tier-1),State
Moneragala,2018,2048.143483,-14.5345949,31,0,9,56,41.59065247,0.384458565,Uva
Moneragala,2019,2286.938312,224.2602345,38,1,12,41,54.571521,0.476781904,Uva
Moneragala,2020,1729.441481,-333.236597,17,0,12,33,41.38832397,0.30480321,Uva
Moneragala,2021,2390.291463,327.6133853,43,0,11,25,43.43732605,0.395838998,Uva
Moneragala,2022,2112.234361,49.55628315,38,1,11,35,66.3472229,0.461107692,Uva
Moneragala,2023,2802.345495,739.6674178,57,1,8,63,52.91245117,0.562435761,Uva
Moneragala,2024,2052.543389,-10.13468827,29,5,14,19,73.40483398,0.531260645,Uva
Moneragala,2025,2642.675477,579.9973991,47,8,14,51,72.18745117,0.768953198,Uva
Moneragala,2026,118.0499142,-1944.628163,4,0,15,4,29.45578918,0.106060606,Uva
Mullaitivu,2010,1617.368121,265.717611,43,4,38,23,74.17415619,0.557942245,Northern
Mullaitivu,2011,1932.087176,580.4366661,53,7,62,18,75.62075043,0.755075154,Northern
Mullaitivu,2012,1523.526863,171.8763531,45,4,62,14,169.6102448,0.731616452,Northern
Mullaitivu,2013,1091.933151,-259.7173594,28,1,34,9,72.26365662,0.313430908,Northern
Mullaitivu,2014,1635.468452,283.8179417,45,5,41,14,74.47341156,0.557588718,Northern
Mullaitivu,2015,1668.945856,317.2953454,47,3,47,28,78.2699585,0.61880327,Northern
Mullaitivu,2016,751.9801412,-599.6703689,16,0,60,18,48.54252243,0.332195175,Northern
Mullaitivu,2017,1200.268855,-151.3816551,26,3,39,19,60.86571503,0.409082644,Northern
Mullaitivu,2018,1167.400742,-184.2497677,25,2,34,40,53.60056686,0.450227187,Northern
Mullaitivu,2019,1276.918567,-74.73194307,30,3,60,14,78.3731308,0.510734384,Northern
Mullaitivu,2020,1288.290834,-63.35967646,26,3,34,11,97.5615921,0.408463692,Northern
Mullaitivu,2021,1734.170084,382.5195734,44,5,27,16,67.69856262,0.509423805,Northern
Mullaitivu,2022,1337.37009,-14.28042033,43,1,53,17,55.18610764,0.47543022,Northern
Mullaitivu,2023,1817.011587,465.3610764,43,8,30,22,99.91322327,0.657422835,Northern
Mullaitivu,2024,1327.429401,-24.2211089,33,4,31,17,69.99338531,0.4369915,Northern
Mullaitivu,2025,1493.129434,141.4789238,37,4,42,12,132.2489166,0.566248267,Northern
Mullaitivu,2026,114.7593192,-1236.891191,4,0,19,4,41.46103668,0,Northern
Nuwara Eliya,2010,3301.682995,637.6887064,56,4,23,34,57.48026821,0.683986888,Central
Nuwara Eliya,2011,2903.071076,239.0767873,41,3,13,31,69.92508371,0.548917665,Central
Nuwara Eliya,2012,2602.615592,-61.37869743,34,6,10,39,93.58736747,0.660817188,Central
Nuwara Eliya,2013,2847.634819,183.6405295,32,4,15,20,77.82013811,0.550274702,Central
Nuwara Eliya,2014,3096.348087,432.353798,45,2,34,25,71.74043056,0.670896254,Central
Nuwara Eliya,2015,2689.775068,25.78077913,29,1,20,63,53.61151995,0.539062111,Central
Nuwara Eliya,2016,1885.698622,-778.2956675,19,4,14,22,69.59234183,0.440716668,Central
Nuwara Eliya,2017,2805.077642,141.0833528,34,1,20,22,62.28461565,0.468857441,Central
Nuwara Eliya,2018,2816.587028,152.5927385,31,0,15,62,37.51225063,0.445055703,Central
Nuwara Eliya,2019,2858.580061,194.5857717,42,1,15,34,51.11844744,0.466310714,Central
Nuwara Eliya,2020,2301.268786,-362.7255031,20,0,13,33,42.58784703,0.305830592,Central
Nuwara Eliya,2021,3146.529813,482.5355238,48,0,11,22,49.29005214,0.406077251,Central
Nuwara Eliya,2022,2874.071552,210.0772627,29,6,10,24,69.26422991,0.553273379,Central
Nuwara Eliya,2023,3482.581588,818.5872993,54,2,9,52,73.59545898,0.630411121,Central
Nuwara Eliya,2024,2365.078282,-298.9160074,27,3,17,31,78.20821708,0.528492735,Central
Nuwara Eliya,2025,3213.060016,549.065727,46,5,14,28,94.54152134,0.69809066,Central
Nuwara Eliya,2026,98.24188845,-2565.752401,1,0,17,3,31.29278128,0.053333333,Central
Polonnaruwa,2010,2040.804067,222.1750594,40,5,28,24,66.15090603,0.584724342,North Central
Polonnaruwa,2011,2541.103754,722.4747461,54,5,32,36,76.81030273,0.774028782,North Central
Polonnaruwa,2012,2081.023058,262.3940494,40,6,22,14,151.2263997,0.621339269,North Central
Polonnaruwa,2013,1724.945225,-93.68378309,35,3,20,11,75.54501004,0.392750879,North Central
Polonnaruwa,2014,2503.162844,684.5338356,55,9,37,20,88.22682699,0.806785897,North Central
Polonnaruwa,2015,2011.310772,192.681764,42,2,34,34,62.50693766,0.627676712,North Central
Polonnaruwa,2016,1434.359778,-384.26923,23,4,30,19,121.5901828,0.531058457,North Central
Polonnaruwa,2017,1684.243865,-134.3851426,25,2,19,18,62.53963216,0.355788357,North Central
Polonnaruwa,2018,1680.636485,-137.9925231,29,0,22,34,40.22427707,0.413841091,North Central
Polonnaruwa,2019,1737.584347,-81.04466061,32,5,34,17,74.38882785,0.551366854,North Central
Polonnaruwa,2020,1721.742945,-96.88606278,32,2,15,17,73.74417453,0.361916707,North Central
Polonnaruwa,2021,1954.18255,135.5535418,39,2,17,23,64.51165093,0.435762256,North Central
Polonnaruwa,2022,1748.61649,-70.01251813,31,3,19,18,65.3921441,0.401412792,North Central
Polonnaruwa,2023,2238.267319,419.6383105,43,5,16,19,64.04918755,0.492756182,North Central
Polonnaruwa,2024,1747.32408,-71.30492842,29,4,25,21,85.21636285,0.499139077,North Central
Polonnaruwa,2025,1964.982028,146.3530194,37,4,39,19,73.77525499,0.609503306,North Central
Polonnaruwa,2026,102.4035306,-1716.225478,2,0,19,7,27.37467109,0.027777778,North Central
Puttalam,2010,1819.891362,348.4594555,46,1,16,23,50.23129272,0.586059013,North Western
Puttalam,2011,1680.360971,208.9290637,44,0,19,28,42.31339809,0.498539772,North Western
Puttalam,2012,1590.717943,119.2860362,44,2,27,39,70.31088257,0.806194365,North Western
Puttalam,2013,1255.875267,-215.5566402,21,0,21,15,42.47373744,0.348280194,North Western
Puttalam,2014,1876.86286,405.4309536,46,1,38,23,53.18747384,0.733948562,North Western
Puttalam,2015,1774.480582,303.0486747,47,0,22,45,43.94311523,0.593777427,North Western
Puttalam,2016,1080.783171,-390.6487358,23,2,23,19,60.134552,0.572256204,North Western
Puttalam,2017,1477.491357,6.059450473,35,0,22,19,33.07463292,0.416106097,North Western
Puttalam,2018,1467.966273,-3.465633571,30,0,11,53,30.2947998,0.429663652,North Western
Puttalam,2019,1448.271756,-23.1601506,35,0,18,35,33.99811881,0.441211425,North Western
Puttalam,2020,1303.885163,-167.5467441,23,0,15,32,47.90000698,0.388969671,North Western
Puttalam,2021,1766.682065,295.2501585,44,0,18,23,47.57879639,0.496788693,North Western
Puttalam,2022,1372.536818,-98.89508861,29,0,27,21,43.16748919,0.445440016,North Western
Puttalam,2023,1846.300959,374.8690524,42,1,13,56,66.81066023,0.697843035,North Western
Puttalam,2024,1464.79611,-6.63579689,36,1,20,23,50.29037476,0.542228124,North Western
Puttalam,2025,1735.624,264.1920929,42,2,25,26,85.53096226,0.794399329,North Western
Puttalam,2026,51.81575871,-1419.616148,1,0,18,3,13.96316964,0.043209877,North Western
Ratnapura,2010,3559.573157,669.3839431,58,6,23,36,62.09184774,0.760100056,Sabaragamuwa
Ratnapura,2011,2948.515338,58.32612425,33,2,13,33,75.01860555,0.470634359,Sabaragamuwa
Ratnapura,2012,2791.786508,-98.40270621,34,4,18,56,74.43373617,0.611822459,Sabaragamuwa
Ratnapura,2013,2944.886034,54.69682062,34,3,18,28,56.96546936,0.51247076,Sabaragamuwa
Ratnapura,2014,3169.10991,278.9206965,45,1,18,49,57.18870036,0.531080007,Sabaragamuwa
Ratnapura,2015,3046.356213,156.1669988,27,0,16,70,45.28698222,0.442798728,Sabaragamuwa
Ratnapura,2016,2193.866985,-696.3222285,22,5,13,30,86.36479696,0.508703103,Sabaragamuwa
Ratnapura,2017,2938.249597,48.06038349,30,2,19,32,113.3747355,0.591460252,Sabaragamuwa
Ratnapura,2018,3113.074971,222.8857571,34,0,11,63,48.19330851,0.405791085,Sabaragamuwa
Ratnapura,2019,3290.561311,400.3720973,47,2,16,40,81.08473206,0.576044189,Sabaragamuwa
Ratnapura,2020,2424.839437,-465.3497768,15,1,12,33,57.3642985,0.331055996,Sabaragamuwa
Ratnapura,2021,3384.939687,494.7504733,42,5,11,36,64.34402466,0.561169933,Sabaragamuwa
Ratnapura,2022,3093.7721,203.5828863,31,5,14,35,74.25984701,0.566944314,Sabaragamuwa
Ratnapura,2023,4151.010661,1260.821447,62,4,8,104,69.55026754,0.709953573,Sabaragamuwa
Ratnapura,2024,2658.34653,-231.842684,31,1,17,29,58.10589091,0.430384512,Sabaragamuwa
Ratnapura,2025,3336.947469,446.7582556,43,5,7,30,81.55865479,0.540956766,Sabaragamuwa
Ratnapura,2026,87.38072621,-2802.808488,0,0,15,4,20.02099482,0.083333333,Sabaragamuwa
Trincomalee,2010,1832.429145,216.494836,42,3,30,20,59.14112684,0.503574366,Eastern
Trincomalee,2011,2394.950971,779.0166614,54,9,30,18,79.81586372,0.714410866,Eastern
Trincomalee,2012,1754.659971,138.7256618,35,6,49,14,146.4176161,0.704066639,Eastern
Trincomalee,2013,1502.551093,-113.3832168,38,2,27,11,51.7705485,0.347317354,Eastern
Trincomalee,2014,2152.447988,536.5136783,48,9,37,18,85.86029731,0.715480858,Eastern
Trincomalee,2015,1822.44129,206.506981,45,4,45,18,73.07443576,0.600314991,Eastern
Trincomalee,2016,1179.271513,-436.6627963,20,3,39,18,82.56753879,0.441132933,Eastern
Trincomalee,2017,1428.855447,-187.0788619,24,2,22,18,75.66440837,0.372314741,Eastern
Trincomalee,2018,1368.898077,-247.0362327,32,0,31,25,49.34244792,0.409587988,Eastern
Trincomalee,2019,1558.483862,-57.45044719,32,5,58,13,92.93935818,0.601247527,Eastern
Trincomalee,2020,1660.683459,44.74915003,36,3,28,10,86.42481825,0.424368713,Eastern
Trincomalee,2021,1900.511653,284.5773433,41,5,27,16,58.16170247,0.494909322,Eastern
Trincomalee,2022,1592.058319,-23.87599019,35,2,25,17,52.71428087,0.387243954,Eastern
Trincomalee,2023,1967.609936,351.6756265,46,4,20,18,80.80034722,0.523165173,Eastern
Trincomalee,2024,1525.906916,-90.0273932,24,7,36,20,79.55192057,0.553619399,Eastern
Trincomalee,2025,1663.079464,47.14515449,32,5,22,21,88.97417535,0.519151335,Eastern
Trincomalee,2026,166.0441547,-1449.890155,4,0,18,5,46.04345025,0,Eastern
Vavuniya,2010,1731.782632,282.7893138,47,4,30,23,61.4012519,0.573639829,Northern
Vavuniya,2011,2054.027523,605.0342046,54,5,37,36,70.75690375,0.762877956,Northern
Vavuniya,2012,1665.380656,216.3873374,46,4,60,15,132.6067573,0.752771747,Northern
Vavuniya,2013,1201.74966,-247.2436589,26,1,34,10,54.77287123,0.32234238,Northern
Vavuniya,2014,1817.384708,368.3913899,45,5,31,18,69.32400852,0.586764945,Northern
Vavuniya,2015,1768.135354,319.1420355,50,2,45,31,74.97460259,0.665399829,Northern
Vavuniya,2016,892.7194757,-556.2738428,18,1,57,19,61.37862142,0.423717186,Northern
Vavuniya,2017,1327.159545,-121.8337737,29,2,27,19,55.84743585,0.389813619,Northern
Vavuniya,2018,1304.966349,-144.0269695,18,1,34,30,51.67057292,0.411255392,Northern
Vavuniya,2019,1407.62298,-41.37033818,31,3,39,16,71.5740899,0.483514688,Northern
Vavuniya,2020,1399.90764,-49.08567899,28,2,34,15,90.12842475,0.452166742,Northern
Vavuniya,2021,1816.532167,367.5388486,42,3,27,16,62.58140734,0.491432066,Northern
Vavuniya,2022,1419.754362,-29.23895649,36,0,32,23,40.18104384,0.391159156,Northern
Vavuniya,2023,1858.635214,409.6418953,46,7,30,22,80.26193576,0.676289092,Northern
Vavuniya,2024,1350.45195,-98.54136867,33,3,31,15,66.4818929,0.439217534,Northern
Vavuniya,2025,1526.152804,77.15948584,36,2,42,19,119.2639838,0.588995022,Northern
Vavuniya,2026,90.52339495,-1358.469924,3,0,19,6,25.23643663,0,Northern
