State,District,Year,Population_Density,Labour Force Participation rate_M,Labour Force Participation rate_F,Economically Active Population_M (%),Economically Active Population_F (%),Literacy Rate_M,Literacy Rate_F,Exposure Score
Eastern,Trincomalee,2006,,,,,,,,
Eastern,Trincomalee,2007,,,,,,,,
Eastern,Trincomalee,2008,,62.2,19.3,77.2,22.8,94.6,86.9,0.43636687
Eastern,Trincomalee,2009,,66.8,27.6,69.5,30.5,92.5,87.5,0.483855373
Eastern,Trincomalee,2010,142.86,63.6,24.1,72.4,27.6,91.2,87.5,0.379692863
Eastern,Trincomalee,2011,,66.7,19.6,76.6,23.4,92.7,87.4,0.450639658
Eastern,Trincomalee,2012,,67.5,19.8,75.4,24.6,91.5,88.5,0.452080875
Eastern,Trincomalee,2013,,73.5,20.4,76.1,23.9,92.5,87,0.491331343
Eastern,Trincomalee,2014,,78.6,22.9,76,24,92.4,89.4,0.547206814
Eastern,Trincomalee,2015,150.63,71.7,22.3,75.7,24.3,93.9,90.5,0.453611909
Eastern,Trincomalee,2016,,76.5,22.1,74.9,25.1,92.6,90.6,0.540307906
Eastern,Trincomalee,2017,,75.2,24,73.6,26.4,92.9,88,0.526943028
Eastern,Trincomalee,2018,,71.8,18.5,78.1,21.9,93.2,88.5,0.488758438
Eastern,Trincomalee,2019,,73.5,20,76.3,23.7,94.3,90.3,0.526998323
Eastern,Trincomalee,2020,156.25,70.6,15.4,79.8,20.2,91.9,89.2,0.400118958
Eastern,Trincomalee,2021,,67.4,14.1,82.3,17.7,93.1,90,0.45161733
Northern,Vavuniya,2006,,,,,,,,
Northern,Vavuniya,2007,,,,,,,,
Northern,Vavuniya,2008,,,,,,,,
Northern,Vavuniya,2009,,,,,,,,
Northern,Vavuniya,2010,92.04,,,,,,,0.019911692
Northern,Vavuniya,2011,,63.3,20.1,75.8,24.2,97.7,93.9,0.519050601
Northern,Vavuniya,2012,,63.4,25.5,68.7,31.3,93.7,92.9,0.49901984
Northern,Vavuniya,2013,,69.7,23.7,72.5,27.5,97,94.8,0.572595
Northern,Vavuniya,2014,,77,32.4,67.2,32.8,92.5,92.3,0.596622488
Northern,Vavuniya,2015,88.85,74.6,37.3,64.8,35.2,90.6,82.9,0.453814059
Northern,Vavuniya,2016,,76.5,35.8,62.5,37.5,91.5,86.9,0.564922313
Northern,Vavuniya,2017,,74.8,38,63.7,36.3,89.4,83,0.519914265
Northern,Vavuniya,2018,,78.2,29.8,67.4,32.6,89.7,87.1,0.534446932
Northern,Vavuniya,2019,,75.6,30.7,67.5,32.5,87.8,84.7,0.489650518
Northern,Vavuniya,2020,84.16,80.4,28.4,69.3,30.7,89.4,87.5,0.466858155
Northern,Vavuniya,2021,,73.5,27.7,68.2,31.8,88.4,86.5,0.480915063
